,Name,Platform,Max_Players,Genre,Publisher,Review_Score,US_Sales,Used_Price,Age_Rating,Length.All.PlayStyles.Average,Length.All.PlayStyles.Leisure,Length.All.PlayStyles.Median,Length.All.PlayStyles.Polled,Length.All.PlayStyles.Rushed,US.Sales..millions.,Year,Sequel,Re.release,Lifecycle,LifecycleSq,Online,Licensed,Handheld,Multiplatform,PersistentUniverse,Pinball,PostApocalyptic,Puzzle,RealTime,RhythmAction,SciFi,TurnBased,VideoBackdrop,VisualNovel,Ecology,Language,Geography,Graphics,Health,History,Maths,Music,PreSchool,Reading,Religion,Science,Sociology,Typing,AmericanFootball,Basketball,Baseball,Boxing,Bowling,Cricket,Fishing,Cycling,Golf,Hockey,Horse,Hunting,Motorcycle,OffRoad,Olympiad,Paintball,PingPong,Pool,Rugby,Sailing,Skateboarding,Snowboarding,Soccer,Surfing,Tennis,Tricks,Volleyball,Wakeboarding,Wrestling,FirstPerson,Platform.1,Isometric,SideScrolling,TopDown,ThirdPerson,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
191,Enemy Territory: Quake Wars,X360,1,Shooter,Activision,69,0.26,14.95,T,9.916666667,16.95,7.916666667,8,6.95,0.26,2008,0,0,3,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,0.11,0,0.04,0.45,69,54,7.3,26,Nerve Software
192,Eragon,DS,1,Action,Vivendi Games,63,0.14,16.95,T,8.833333333,12.7,8,11,5.583333333,0.14,2006,0,0,2,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.13,0.02,0,0.01,0.16,63,17,7.6,13,Amaze Entertainment
193,Eragon,PSP,4,Action,Vivendi Games,59,0.11,14.95,T,8.833333333,12.7,8,11,5.583333333,0.11,2006,0,0,2,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0.01,0.11,59,15,NA,NA,"Amaze Entertainment, Vivendi Games"
194,Eragon,X360,2,Action,Vivendi Games,48,0.09,12.95,T,8.833333333,12.7,8,11,5.583333333,0.09,2006,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0.01,0,0.01,0.14,48,32,5.7,24,Stormfront Studios
195,Escape from Bug Island,Wii,1,Action,Eidos Interactive,37,0.04,14.95,M,7.583333333,9.55,6.616666667,6,5.916666667,0.04,2007,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.01,0.01,0,0.06,37,13,5,25,Spike
196,Eternal Sonata,PS3,2,Role-Playing,Atari,80,0.14,24.95,T,38.15,117.95,33.7,132,23.95,0.14,2008,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19,0.12,0.07,0.05,0.44,80,34,7.8,117,Tri-Crescendo
197,Eternal Sonata,X360,1,Role-Playing,Atari,79,0.15,27.95,T,38.15,117.95,33.7,132,23.95,0.15,2007,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19,0.04,0.08,0.02,0.32,79,56,7.9,97,Tri-Crescendo
198,Etrian Odyssey II: Heroes of Lagaard,DS,1,Role-Playing,Atlus,82,0.07,24.95,E10+,55.48333333,63.31666667,53.8,10,48.01666667,0.07,2008,1,0,4,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09,0,0.16,0.01,0.26,82,17,8.9,24,Atlus
199,Etrian Odyssey,DS,1,Role-Playing,Nintendo,75,0.19,24.95,T,60.81666667,98.33333333,54.05,24,40.71666667,0.19,2007,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.19,0.02,0.09,0.02,0.33,75,30,8.5,37,"Lancarse, Atlus"
200,Every Extend Extra,PSP,1,Shooter,Disney Interactive Studios,74,0.06,11.95,E,12,12,12,1,12,0.06,2006,0,0,2,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0.01,0.12,74,45,7.3,9,Q Entertainment
201,Excite Truck,Wii,2,Racing,Nintendo,72,0.4,19.95,E,15.85,19.95,14,7,10.95,0.4,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.39,0.03,0.08,0.04,0.53,72,57,8.4,83,Monster Games Inc.
202,Exit,PSP,1,Puzzle,Ubisoft,77,0.05,9.95,E,6,6,6,2,6,0.05,2005,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.07,0,0,0.01,0.08,77,36,7.7,13,Taito Corporation
203,F.E.A.R. Files,X360,1,Shooter,Vivendi Games,66,0.06,17.95,M,11.58333333,15.38333333,10,9,9.883333333,0.06,2007,1,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07,0.01,0,0.01,0.09,66,43,7.1,16,"TimeGate Studios, Day 1 Studios"
204,Fable II,X360,1,Role-Playing,Microsoft Game Studios,89,2.55,17.95,M,25.15,128.7833333,20,207,14.23333333,2.55,2008,1,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.51,1.24,0.11,0.41,4.27,89,95,6.5,2423,Lionhead Studios
205,Fallout 3,PS3,1,Role-Playing,Bethesda Softworks,90,1.48,17.95,M,60.06666667,476.2666667,45,790,28.76666667,1.48,2008,1,0,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.15,1.13,0.07,0.59,3.94,90,57,8,910,Bethesda Game Studios
206,Fallout 3,X360,1,Role-Playing,Bethesda Softworks,93,2.44,17.95,M,60.06666667,476.2666667,45,790,28.76666667,2.44,2008,1,0,3,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Bethesda Game Studios
207,Fantastic Four: Rise of the Silver Surfer,DS,1,Action,Take-Two Interactive,35,0.04,14.95,E10+,7.6,9.5,6.416666667,7,5.683333333,0.04,2007,1,0,3,9,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0.04,35,8,4.8,13,7 Studios
208,Fantastic Four: Rise of the Silver Surfer,PS3,4,Action,Take-Two Interactive,47,0.1,14.95,T,7.6,9.5,6.416666667,7,5.683333333,0.1,2007,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0.02,0,0.02,0.15,47,26,6.2,10,Visual Concepts
209,Fantastic Four: Rise of the Silver Surfer,Wii,4,Action,Take-Two Interactive,39,0.04,12.95,T,7.6,9.5,6.416666667,7,5.683333333,0.04,2007,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.01,0,0,0.05,39,16,5.9,15,7 Studios
210,Fantastic Four: Rise of the Silver Surfer,X360,4,Action,Take-Two Interactive,45,0.08,14.95,T,7.6,9.5,6.416666667,7,5.683333333,0.08,2007,1,0,2,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.01,0,0.01,0.11,45,30,5.4,16,Visual Concepts
211,Far Cry 2,PS3,1,Action,Ubisoft,85,0.43,19.95,M,26,78.25,23,235,15.25,0.43,2008,1,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.43,0.69,0.01,0.26,1.38,85,49,6.4,241,Ubisoft Montreal
212,Far Cry 2,X360,1,Action,Ubisoft,85,0.73,19.95,M,26,78.25,23,235,15.25,0.73,2008,1,0,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.71,0.69,0.02,0.18,1.59,85,75,6.7,288,Ubisoft Montreal
213,Feel the Magic XY/XX,DS,1,Puzzle,Sega,75,0.16,8.95,T,2.9,3.8,3,9,2.316666667,0.16,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.17,0,0.1,0.02,0.29,75,55,8.1,18,Sonic Team
214,Ferrari Challenge Trofeo Pirelli,PS3,1,Racing,System 3 Arcade Software,71,0.15,17.95,E,32,40,32,2,24,0.15,2008,0,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.03,0,0.01,0.04,71,37,6.2,26,Eutechnyx
215,Field Commander,PSP,2,Strategy,Sony Online Entertainment,77,0.16,14.95,T,13.88333333,14.43333333,13.88333333,2,13.31666667,0.16,2006,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0.01,0.16,77,53,7.8,31,"Sony Online Entertainment, Mind Control Software"
216,FIFA Street 2,PSP,1,Sports,Electronic Arts,58,0.07,17.95,E,25.71666667,33.91666667,20,6,20.91666667,0.07,2006,1,0,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.07,0.05,0,0.02,0.13,58,6,6.9,17,EA Canada
217,FIFA Street 3,PS3,1,Sports,Electronic Arts,63,0.06,17.95,E,5.75,6.8,5.5,4,4.8,0.06,2008,1,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.08,0.18,0,0.06,0.32,63,37,6.9,19,EA Canada
218,FIFA Street 3,X360,4,Sports,Electronic Arts,63,0.07,14.95,E,5.75,6.8,5.5,4,4.8,0.07,2008,1,0,3,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.14,0.14,0,0.03,0.32,63,48,6.9,18,EA Canada
219,Fight Night Round 3,PS3,2,Fighting,Electronic Arts,83,0.86,13.95,T,11.18333333,13.03333333,11,21,7.8,0.86,2006,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.81,0.58,0.01,0.26,1.67,83,37,7.9,24,EA Chicago
220,Fight Night Round 3,PSP,2,Fighting,Electronic Arts,74,0.48,16.95,T,11.18333333,13.03333333,11,21,7.8,0.48,2006,1,0,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46,0.01,0,0.04,0.52,74,22,8.1,22,EA Chicago
221,Fight Night Round 3,X360,2,Fighting,Electronic Arts,86,1.4,14.95,T,11.18333333,13.03333333,11,21,7.8,1.4,2006,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.33,0.03,0.01,0.1,1.47,86,67,8.8,264,EA Chicago
222,Final Fantasy Fables: Chocobo's Dungeon,Wii,1,Role-Playing,Square Enix,76,0.09,17.95,E10+,28.16666667,39.45,25,9,23.78333333,0.09,2008,1,0,2,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0.11,0.01,0.21,76,34,8,20,h.a.n.d. Inc.
223,Final Fantasy Fables: Chocobo Tales,DS,1,Adventure,Ubisoft,75,0.1,17.95,E,17.2,27.56666667,12.25,17,11.06666667,0.1,2007,1,0,3,9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.01,0.12,0.01,0.24,75,42,7.4,28,h.a.n.d. Inc.
224,Final Fantasy III,DS,1,Role-Playing,Square Enix,77,0.86,17.95,E10+,51.06666667,98.15,44,849,30.96666667,0.86,2006,1,1,2,4,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.89,0.04,1.07,0.09,2.08,77,45,7.1,136,Matrix Software
225,Final Fantasy IV,DS,1,Simulation,Square Enix,85,0.48,17.95,E10+,38.33333333,61.35,35.38333333,152,24.83333333,0.48,2007,1,1,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.51,0.04,0.62,0.05,1.21,85,52,7.7,164,Matrix Software
226,Final Fantasy Tactics A2: Grimoire of the Rift,DS,1,Role-Playing,Square Enix,80,0.36,17.95,E10+,79.46666667,129.95,75,67,48.2,0.36,2007,1,0,3,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.38,0.03,0.3,0.04,0.75,80,47,6.9,106,Square Enix
227,Final Fantasy XII: Revenant Wings,DS,1,Role-Playing,Square Enix,81,0.33,19.95,E10+,38.55,67.38333333,30.98333333,41,27.38333333,0.33,2007,1,0,3,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0.41,0.54,0.1,1.37,81,44,6.1,60,"Square Enix, Think and Feel"
228,Fire Emblem: Radiant Dawn,Wii,1,Strategy,Nintendo,78,0.26,34.95,E10+,50.18333333,99.5,47.83333333,70,30.83333333,0.26,2007,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27,0.03,0.17,0.03,0.49,78,36,8.7,180,Intelligent Systems
229,Fire Emblem: Shadow Dragon,DS,1,Role-Playing,Nintendo,81,0.25,19.95,E10+,23.31666667,36.86666667,21.85,71,16.86666667,0.25,2008,1,0,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.02,0.27,0.03,0.61,81,42,7,106,Intelligent Systems
230,Flash Focus: Vision Training in Minutes a Day,DS,1,Misc,Nintendo,59,0.91,17.95,E,6,6,6,1,6,0.91,2007,1,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.86,1.56,1.05,0.35,3.83,59,22,4,4,"Nintendo, Namco Bandai Games"
231,FlatOut: Head On,PSP,1,Racing,Empire Interactive,74,0.14,9.95,T,21.8,32,23,21,16.45,0.14,2008,1,0,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13,0.1,0,0.06,0.29,74,28,8.2,21,Bugbear
232,FlatOut: Ultimate Carnage,X360,1,Racing,Empire Interactive,80,0.07,16.95,T,21.8,32,23,21,16.45,0.07,2007,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.07,0.02,0,0.01,0.11,80,44,8.8,66,Bugbear
233,Folklore,PS3,1,Role-Playing,Sony Computer Entertainment,75,0.18,24.95,T,20.78333333,39.35,16.65,49,14.61666667,0.18,2007,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.04,0.05,0.03,0.32,75,55,8.2,145,"Game Republic, JapanStudio"
234,Ford Racing 3,DS,1,Racing,Zoo Digital Publishing,49,0.1,14.95,E,7.1,8.3,8.016666667,6,5.433333333,0.1,2005,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.09,0,0,0.01,0.1,49,5,NA,NA,Visual Impact
235,Forza Motorsport 2,X360,2,Racing,Microsoft Game Studios,90,2.48,12.95,E,59.55,73.93333333,58.21666667,15,49.43333333,2.48,2007,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.35,1.27,0.03,0.41,4.05,90,66,8.3,381,Turn 10
236,Fracture,PS3,1,Shooter,LucasArts,62,0.09,14.95,T,7.9,12.71666667,7,19,6.133333333,0.09,2008,0,0,2,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0.04,0,0.02,0.16,62,40,5.8,18,Day 1 Studios
237,Fracture,X360,1,Shooter,LucasArts,63,0.13,14.95,T,7.9,12.71666667,7,19,6.133333333,0.13,2008,0,0,3,9,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.14,0,0.04,0.33,63,60,6.2,45,Day 1 Studios
238,Front Mission,DS,1,Strategy,Square Enix,72,0.01,17.95,E10+,20.86666667,24.18333333,20.3,5,17.4,0.01,2007,0,0,3,9,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01,0,0.03,0,0.04,72,19,8.9,9,Square Enix
239,Frontlines: Fuel of War,X360,1,Shooter,THQ,75,0.35,14.95,T,5.85,9.333333333,5.5,48,4.333333333,0.35,2008,0,0,3,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.34,0.15,0.01,0.05,0.56,75,55,7.8,77,Kaos Studios
240,Full Auto 2: Battlelines,PS3,2,Racing,Sega,67,0.14,14.95,T,10.03333333,11.15,9.583333333,4,9.15,0.14,2006,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.02,0,0.02,0.18,67,43,7.6,25,Pseudo Interactive
241,Full Auto,X360,2,Shooter,Sega,70,0.19,16.95,T,5,5,5,1,5,0.19,2006,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19,0.01,0,0.02,0.22,70,63,7.8,36,Pseudo Interactive
242,Fullmetal Alchemist: Dual Sympathy,DS,1,Role-Playing,Empire Interactive,58,0.05,14.95,T,14,14.5,14,2,13.5,0.05,2005,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.05,0,0.04,0,0.09,58,15,7.3,12,Natsume
243,Fuzion Frenzy 2,X360,4,Misc,Microsoft Game Studios,49,0.12,14.95,E10+,4.366666667,6.516666667,3.75,4,2.516666667,0.12,2006,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.14,0.01,0,0.01,0.17,49,47,5.2,31,Hudson Soft
244,Game Party,Wii,4,Misc,Midway Games,25,1.49,14.95,E,2,2,2,1,2,1.49,2007,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.47,0.77,0,0.24,2.48,25,8,4.3,26,Midway
245,Gears of War 2,X360,2,Shooter,Microsoft Game Studios,93,3.9,24.95,M,12.56666667,107.1333333,10,256,8.666666667,3.9,2008,1,0,3,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Epic Games
