,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
1,6,/games/boxart/full_6510540AmericaFrontccc.jpg,Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,NA,9.4,NA,NA,20.32,6.37,0.99,9.85,3.12,9/17/2013,
2,8,/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,NA,9.7,NA,NA,19.39,6.06,0.6,9.71,3.02,11/18/2014,1/3/2018
3,11,/games/boxart/827563ccc.jpg,Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,NA,9.6,NA,NA,16.15,8.41,0.47,5.49,1.78,10/28/2002,
4,13,/games/boxart/3570928ccc.jpg,Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,NA,9.5,NA,NA,13.1,6.99,0.3,4.51,1.3,10/23/2001,
5,15,/games/boxart/full_1182151AmericaFrontccc.jpg,Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,9,10,NA,NA,11.09,6.8,0.14,3.11,1.04,4/29/2008,
6,17,/games/boxart/full_1729769AmericaFrontccc.jpg,Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,9,10,9,NA,10.57,4.79,0.44,3.73,1.62,4/29/2008,
7,21,/games/boxart/full_8047513AmericaFrontccc.jpg,Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,NA,9,9,NA,8.72,4.7,0.01,3.25,0.76,11/18/2014,4/11/2018
8,22,/games/boxart/1340019ccc.jpg,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,NA,8.8,NA,NA,7.72,2.9,0.24,2.83,1.74,10/25/2005,
9,26,/games/boxart/full_2350454AmericaFrontccc.jpg,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,NA,6.74,3.28,0.21,2.22,1.02,10/13/2009,
10,27,/games/boxart/full_7375558AmericaFrontccc.jpg,Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,NA,NA,6.57,2.82,0.17,2.58,1,10/11/2011,
11,28,/games/boxart/full_2634795AmericaFrontccc.jpg,Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10,NA,6.5,3.77,0.09,2.03,0.6,5/18/2010,
12,29,/games/boxart/7411582ccc.jpg,Driver,PS,Action,GT Interactive,Reflections Interactive,NA,8.5,NA,NA,6.27,3.11,0.02,2.8,0.33,6/30/1999,
13,30,/games/boxart/7540650ccc.jpg,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami,Konami Computer Entertainment Japan,NA,9.5,7,NA,6.05,2.45,0.87,2.01,0.72,11/12/2001,
14,32,/games/boxart/full_9894043AmericaFrontccc.jpg,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami,Kojima Productions,9.5,9.3,9.8,NA,6,2.63,0.83,1.72,0.81,6/12/2008,
15,34,/games/boxart/full_2958031AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,NA,8,NA,NA,5.66,3.57,NA,1.57,0.52,11/6/2007,
16,35,/games/boxart/full_5252150AmericaFrontccc.jpg,Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9,9,NA,NA,5.57,2.54,0.21,1.95,0.86,11/17/2009,1/3/2018
17,36,/games/boxart/full_7562642AmericaFrontccc.jpg,Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8,NA,5.55,3.28,0.07,1.64,0.56,11/13/2007,
18,37,/games/boxart/full_batman-arkham-city_591AmericaFront.jpg,Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,NA,9.6,NA,NA,5.54,2.72,0.11,1.89,0.82,10/18/2011,
19,39,/games/boxart/full_8353337AmericaFrontccc.jpg,Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9,9.1,NA,NA,5.3,3.14,0.08,1.55,0.52,11/17/2009,
20,40,/games/boxart/full_989928AmericaFrontccc.jpg,Resident Evil 5,PS3,Action,Capcom,Capcom,8.4,8.6,8.8,NA,5.1,1.96,1.08,1.42,0.64,3/13/2009,
21,41,/games/boxart/full_1162504AmericaFrontccc.jpg,Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,NA,8.4,NA,NA,5.08,1.7,0.16,2.03,1.19,10/31/2006,
22,42,/games/boxart/full_7863698AmericaFrontccc.jpg,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,NA,4.97,2.32,0.12,1.73,0.8,11/16/2007,
23,44,/games/boxart/full_2363378AmericaFrontccc.jpg,Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.5,NA,4.83,1.91,0.09,2.01,0.82,11/13/2007,
24,45,/games/boxart/full_5884504AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,NA,7.8,NA,NA,4.77,2.83,NA,1.49,0.45,11/6/2007,
25,46,/games/boxart/full_batman-arkham-city_302AmericaFront.jpg,Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,NA,9.5,NA,NA,4.75,2.99,0.04,1.28,0.44,10/18/2011,
26,47,/games/boxart/full_6536899AmericaFrontccc.jpg,Driver 2,PS,Action,Atari,Reflections Interactive,NA,7,NA,NA,4.73,2.36,0.02,2.1,0.25,11/13/2000,
27,48,/games/boxart/8307809ccc.jpg,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,NA,8.3,NA,NA,4.67,1.94,0.08,1.95,0.7,10/21/2002,
28,49,/games/boxart/8585565ccc.jpg,Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,NA,8.9,NA,NA,4.63,2.29,0.13,1.97,0.24,11/14/1996,
29,52,/games/boxart/full_9484527AmericaFrontccc.jpg,Spider-Man: The Movie,PS2,Action,Activision,Treyarch,NA,8.2,NA,NA,4.48,2.71,0.03,1.51,0.23,4/15/2002,
30,54,/games/boxart/full_8831048AmericaFrontccc.jpg,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.1,9,NA,NA,4.28,2.26,0.07,1.33,0.63,8/25/2009,
31,56,/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg,Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,NA,8.8,NA,NA,4.23,1.41,0.1,2.03,0.69,11/15/2011,
32,57,/games/boxart/full_2666802AmericaFrontccc.jpg,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami,KCEJ / Kojima Productions,NA,9,NA,NA,4.23,1.46,0.83,0,1.93,11/17/2004,
33,58,/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg,Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,NA,7.9,NA,NA,4.22,2.28,0.04,1.47,0.44,11/15/2011,
34,63,/games/boxart/full_2497280AmericaFrontccc.jpg,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,NA,8.1,NA,NA,4.11,1.65,0.11,1.68,0.66,6/23/2015,1/4/2018
35,68,/games/boxart/full_2414906AmericaFrontccc.jpg,Far Cry 5,PS4,Action,Ubisoft,Ubisoft,NA,7.9,NA,NA,3.95,1.44,0.15,1.73,0.62,3/27/2018,2/28/2018
36,70,/games/boxart/full_3182726AmericaFrontccc.jpg,Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts,Argonaut Games,NA,8,NA,NA,3.73,1.37,0.14,2,0.22,11/15/2001,
37,72,/games/boxart/full_7518379AmericaFrontccc.jpg,Assassin's Creed Syndicate,PS4,Action,Ubisoft,Ubisoft Quebec,NA,8.6,NA,NA,3.6,0.9,0.08,2.06,0.55,10/23/2015,5/4/2018
38,74,/games/boxart/full_1027141AmericaFrontccc.jpg,Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,NA,8.3,NA,NA,3.54,1.56,0.07,1.4,0.5,6/6/2006,
39,75,/games/boxart/9254920ccc.jpg,The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,NA,7.7,NA,NA,3.54,1.23,0.05,1.77,0.49,1/19/2003,
40,76,/games/boxart/full_1668550AmericaFrontccc.jpg,Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9,9.1,NA,NA,3.54,2.24,0.02,0.95,0.33,8/25/2009,
41,77,/games/boxart/full_assassins-creed-brotherhood_1AmericaFront.jpg,Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,NA,9.1,NA,NA,3.53,2.87,0.03,0.39,0.25,11/16/2010,
42,78,/games/boxart/full_6469736AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,Traveller's Tales,NA,7.9,NA,NA,3.53,1.98,0.01,1.14,0.41,4/2/2005,
43,79,/games/boxart/full_2466064AmericaFrontccc.jpg,Resident Evil 5,X360,Action,Capcom,Capcom,8.4,8.6,NA,NA,3.53,2.13,0.12,0.93,0.34,3/13/2009,
44,84,/games/boxart/9935711ccc.jpg,Grand Theft Auto 2,PS,Action,Rockstar Games,DMA Design,NA,6.9,NA,NA,3.42,1.13,NA,2.07,0.22,10/25/1999,
45,85,/games/boxart/4171363ccc.jpg,Spider-Man 2,PS2,Action,Activision,Treyarch,NA,7.9,NA,NA,3.41,1.75,0.02,1.2,0.43,6/28/2004,
46,89,/games/boxart/3546885ccc.jpg,The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,"Hypnos Entertainment, Inc.",NA,8.4,NA,NA,3.28,1.5,0.05,1.28,0.46,11/5/2003,
47,97,/games/boxart/full_2141889AmericaFrontccc.jpg,Saints Row 2,X360,Action,THQ,Volition Inc.,NA,7.9,NA,NA,3.07,1.98,0.02,0.79,0.28,10/14/2008,4/2/2018
48,100,/games/boxart/6684060ccc.jpg,Tom Clancy's Splinter Cell,XB,Action,Ubisoft,Ubisoft,NA,9.3,9.1,NA,3.02,1.85,NA,1.04,0.13,11/17/2002,
49,103,/games/boxart/full_assassins-creed-brotherhood_2AmericaFront.jpg,Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,Ubisoft Montreal,NA,9.1,NA,NA,2.85,1.87,0.11,0.57,0.3,11/16/2010,
50,105,/games/boxart/full_759100AmericaFrontccc.jpg,Skylanders: Spyro's Adventure,Wii,Action,Activision,Toys for Bob,NA,8,NA,NA,2.79,1.35,NA,1.15,0.3,10/16/2011,
51,106,/games/boxart/full_4649505AmericaFrontccc.jpg,Star Wars: The Force Unleashed,X360,Action,LucasArts,LucasArts,NA,7.1,NA,NA,2.77,1.74,NA,0.78,0.26,9/16/2008,
52,107,/games/boxart/full_saints-row-the-third_291AmericaFront.jpg,Saints Row: The Third,X360,Action,THQ,Volition Inc.,NA,8.3,NA,NA,2.77,1.26,0.07,1.14,0.3,11/15/2011,
53,111,/games/boxart/full_4362003AmericaFrontccc.jpg,LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,Traveller's Tales,NA,8.4,NA,NA,2.69,1.85,0.01,0.64,0.19,9/12/2006,
54,112,/games/boxart/full_4595764AmericaFrontccc.jpg,Hannah Montana,DS,Action,Buena Vista,DC Studios,NA,6.5,NA,NA,2.65,1.59,NA,0.8,0.26,10/10/2006,
55,119,/games/boxart/full_7814840AmericaFrontccc.jpg,Tomb Raider (2013),PS3,Action,Square Enix,Crystal Dynamics,NA,8.9,NA,NA,2.51,0.6,0.08,1.45,0.38,3/5/2013,1/6/2018
56,120,/games/boxart/full_382788AmericaFrontccc.jpg,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Rockstar Games,Rockstar North,NA,9.8,NA,NA,2.49,1.84,NA,0.56,0.09,10/31/2003,
57,121,/games/boxart/full_saints-row-the-third_775AmericaFront.jpg,Saints Row: The Third,PS3,Action,THQ,Volition Inc.,NA,8.3,NA,NA,2.48,0.86,0.18,1.06,0.37,11/15/2011,
58,129,/games/boxart/full_dead-island_121AmericaFront.jpg,Dead Island,X360,Action,Deep Silver,Techland,NA,7,NA,NA,2.38,1.48,NA,0.7,0.21,9/6/2011,
59,130,/games/boxart/2974497ccc.jpg,The Incredibles,PS2,Action,THQ,Heavy Iron Studios,NA,5.9,NA,NA,2.37,0.96,0.04,1.08,0.3,10/31/2004,
60,133,/games/boxart/full_8164194AmericaFrontccc.jpg,Assassin's Creed IV: Black Flag,XOne,Action,Ubisoft,Ubisoft Montreal,NA,8.3,NA,NA,2.32,1.51,NA,0.59,0.22,11/22/2013,3/14/2018
61,134,/games/boxart/6725603ccc.jpg,Grand Theft Auto,PS,Action,Take-Two Interactive,DMA Design,NA,6,NA,NA,2.32,0.79,0.04,1.35,0.14,6/30/1998,
62,136,/games/boxart/full_7482376AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,Traveller's Tales,NA,8,NA,NA,2.31,1.02,NA,0.93,0.36,11/6/2007,
63,138,/games/boxart/full_dead-island_140AmericaFront.jpg,Dead Island,PS3,Action,Deep Silver,Techland,NA,6.7,NA,NA,2.29,1.08,0.15,0.74,0.32,9/6/2011,
64,142,/games/boxart/full_3503329AmericaFrontccc.jpg,Star Wars: The Force Unleashed,PS3,Action,LucasArts,LucasArts,NA,6.8,NA,NA,2.22,1.01,NA,0.86,0.35,9/16/2008,
65,147,/games/boxart/full_9978864AmericaFrontccc.jpg,Metal Gear Solid: Peace Walker,PSP,Action,Konami,Kojima Productions,NA,8.6,NA,NA,2.08,0.46,0.96,0.42,0.25,6/8/2010,
66,148,/games/boxart/8299340ccc.jpg,The Incredibles,GBA,Action,THQ,Helixe,NA,5.4,NA,NA,2.06,1.15,0.04,0.77,0.1,10/31/2004,
67,151,/games/boxart/full_7305262AmericaFrontccc.jpg,Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,Ubisoft Montreal,8.8,8.6,NA,NA,2.06,1.2,0.04,0.62,0.19,4/13/2010,
68,159,/games/boxart/full_9753159AmericaFrontccc.jpg,Tenchu: Stealth Assassins,PS,Action,Activision,Acquire,NA,8.8,NA,NA,1.99,0.95,0.27,0.64,0.13,8/31/1998,
69,165,/games/boxart/1223151ccc.jpg,Grand Theft Auto: San Andreas,XB,Action,Rockstar Games,Rockstar North,NA,9.2,NA,NA,1.95,1.26,NA,0.61,0.09,6/7/2005,
70,167,/games/boxart/full_6890376AmericaFrontccc.jpg,Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,NA,8.5,NA,NA,1.9,0.86,0.01,0.87,0.16,3/5/2013,1/6/2018
71,168,/games/boxart/full_infamous-2_615AmericaFront.jpg,inFAMOUS 2,PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,NA,8.1,NA,NA,1.87,1.05,0.08,0.48,0.26,6/7/2011,
72,169,/games/boxart/full_7230441AmericaFrontccc.jpg,Star Wars: The Force Unleashed,Wii,Action,LucasArts,Krome Studios,7.3,6.8,7.4,NA,1.86,1.11,0,0.56,0.19,9/16/2008,
73,171,/games/boxart/full_308626AmericaFrontccc.jpg,The Evil Within,PS4,Action,Bethesda Softworks,Tango Gameworks,NA,7.7,NA,NA,1.86,0.56,0.11,0.9,0.28,10/14/2014,3/13/2018
74,178,/games/boxart/full_lego-star-wars-iii-the-clone-wars_36AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,Traveller's Tales,NA,7.5,NA,NA,1.79,1.01,NA,0.62,0.15,3/22/2011,
75,181,/games/boxart/full_4313557AmericaFrontccc.jpg,Far Cry 5,XOne,Action,Ubisoft,Ubisoft Montreal,NA,7.2,NA,NA,1.78,1.14,NA,0.47,0.17,3/27/2018,2/28/2018
76,185,/games/boxart/8044547ccc.jpg,State of Emergency,PS2,Action,Rockstar Games,VIS Entertainment,NA,8,NA,NA,1.76,0.86,NA,0.67,0.22,2/12/2002,
77,188,/games/boxart/full_664593AmericaFrontccc.jpg,Just Cause 2,PS3,Action,Square Enix,Avalanche Studios,7.8,8.3,NA,NA,1.75,0.45,0.06,0.92,0.32,3/23/2010,
78,192,/games/boxart/9052333ccc.jpg,Twisted Metal III,PS,Action,989 Studios,989 Studios,NA,4.4,NA,NA,1.73,1.48,NA,0.2,0.05,10/31/1998,
79,194,/games/boxart/3054904ccc.jpg,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,Rockstar Games,Rockstar North,NA,9.7,NA,NA,1.72,0.85,NA,0.66,0.22,10/21/2003,
80,201,/games/boxart/1789636ccc.jpg,Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,Griptonite Games,NA,6.6,NA,NA,1.69,0.87,0.08,0.66,0.08,11/15/2001,
81,202,/games/boxart/full_5633056AmericaFrontccc.jpg,Saints Row 2,PS3,Action,THQ,Volition Inc.,NA,7.9,NA,NA,1.68,0.88,0.02,0.54,0.24,10/14/2008,4/2/2018
82,207,/games/boxart/full_uncharted-golden-abyss_991AmericaFront.jpg,Uncharted: Golden Abyss,PSV,Action,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,NA,7.9,NA,NA,1.62,0.53,0.13,0.71,0.25,2/15/2012,
83,209,/games/boxart/full_2327598AmericaFrontccc.jpg,Just Cause 2,X360,Action,Square Enix,Avalanche Studios,7.8,8,NA,NA,1.6,0.59,0.02,0.83,0.17,3/23/2010,
84,210,/games/boxart/full_1783749AmericaFrontccc.jpg,Devil May Cry 4,PS3,Action,Capcom,Capcom,NA,8.2,8.2,NA,1.58,0.58,0.34,0.45,0.2,2/5/2008,
85,212,/games/boxart/full_lego-pirates-of-the-caribbean-the-video-game_531AmericaFront.jpg,LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,Traveller's Tales,NA,7.5,NA,NA,1.57,0.73,NA,0.69,0.15,5/10/2011,
86,216,/games/boxart/full_1377891AmericaFrontccc.jpg,Twisted Metal,PS,Action,Sony Computer Entertainment,SingleTrac,NA,7,NA,NA,1.56,1.32,NA,0.19,0.05,11/5/1995,
87,217,/games/boxart/full_mafia-ii_1AmericaFront.jpg,Mafia II,X360,Action,2K Games,Illusion Softworks,NA,7.2,NA,NA,1.56,0.85,NA,0.55,0.15,8/24/2010,
88,223,/games/boxart/full_star-wars-the-force-unleashed-ii_2AmericaFront.jpg,Star Wars: The Force Unleashed II,PS3,Action,LucasArts,LucasArts,NA,6.3,NA,NA,1.51,0.8,NA,0.5,0.21,10/26/2010,
89,224,/games/boxart/full_6977688AmericaFrontccc.jpg,Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,PlatinumGames,NA,9,NA,NA,1.5,0.47,0.44,0.41,0.18,2/19/2013,1/12/2018
90,227,/games/boxart/full_mafia-ii_4AmericaFront.jpg,Mafia II,PS3,Action,2K Games,Illusion Softworks,NA,7,NA,NA,1.49,0.5,0.04,0.7,0.25,8/24/2010,
91,228,/games/boxart/full_dead-rising-2_9AmericaFront.jpg,Dead Rising 2,X360,Action,Capcom,Blue Castle Games,NA,8.2,NA,NA,1.49,0.75,0.09,0.53,0.13,9/28/2010,
92,229,/games/boxart/full_lego-star-wars-iii-the-clone-wars_502AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,Traveller's Tales,NA,7.9,NA,NA,1.48,0.84,NA,0.51,0.13,3/22/2011,
93,231,/games/boxart/1345535ccc.jpg,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,Ubisoft,Ubisoft Shanghai,NA,9.2,9,NA,1.48,0.82,NA,0.59,0.07,3/23/2004,
94,238,/games/boxart/full_star-wars-the-force-unleashed-ii_9AmericaFront.jpg,Star Wars: The Force Unleashed II,X360,Action,LucasArts,LucasArts,NA,6.3,NA,NA,1.44,0.95,NA,0.37,0.12,10/26/2010,
95,241,/games/boxart/full_7773841AmericaFrontccc.jpg,Yu-Gi-Oh! The Duelists of the Roses,PS2,Action,Konami,Konami,NA,7,NA,NA,1.41,1.07,NA,0.35,NA,2/16/2003,
96,242,/games/boxart/full_1021105AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,GC,Action,Eidos Interactive,Traveller's Tales,NA,7.9,NA,NA,1.41,1.09,NA,0.28,0.04,10/25/2005,
97,243,/games/boxart/442847ccc.jpg,LEGO Star Wars II: The Original Trilogy,PSP,Action,LucasArts,Traveller's Tales,NA,8.4,NA,NA,1.41,0.58,NA,0.51,0.32,9/12/2006,
98,245,/games/boxart/2125308ccc.jpg,Spider-Man: The Movie,XB,Action,Activision,Treyarch,NA,7.7,NA,NA,1.4,1.07,NA,0.28,0.05,4/15/2002,
99,252,/games/boxart/full_3902291AmericaFrontccc.jpg,Bakugan: Battle Brawlers,DS,Action,Activision,MTO,NA,6.4,NA,NA,1.38,1.26,NA,0.02,0.1,10/20/2009,
100,254,/games/boxart/full_dead-rising-2_5AmericaFront.jpg,Dead Rising 2,PS3,Action,Capcom,Blue Castle Games,NA,8.1,NA,NA,1.37,0.43,0.15,0.57,0.22,9/28/2010,
101,255,/games/boxart/full_metroid-other-m_7AmericaFront.jpg,Metroid: Other M,Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,NA,7.7,NA,NA,1.36,0.85,0.13,0.28,0.1,8/31/2010,
102,258,/games/boxart/full_7623118AmericaFrontccc.jpg,Devil May Cry 4,X360,Action,Capcom,Capcom,NA,8.5,NA,NA,1.34,0.79,0.08,0.34,0.13,2/5/2008,
103,261,/games/boxart/full_1170189AmericaFrontccc.jpg,Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,9.2,8.3,NA,NA,1.33,0.66,0.05,0.5,0.12,5/18/2010,
104,266,/games/boxart/full_3384417AmericaFrontccc.jpg,[Prototype],X360,Action,Activision,Radical Entertainment,NA,7.9,NA,NA,1.31,0.84,NA,0.35,0.12,6/9/2009,
105,272,/games/boxart/full_9250565AmericaFrontccc.jpg,Manhunt,PS2,Action,Rockstar Games,Rockstar North,NA,8,NA,NA,1.28,0.63,NA,0.49,0.16,11/18/2003,
106,276,/games/boxart/full_2923134AmericaFrontccc.jpg,Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,Griptonite Studio,5.4,6.3,NA,NA,1.26,0.43,0.05,0.5,0.28,11/17/2009,
107,282,/games/boxart/full_6433584AmericaFrontccc.jpg,[Prototype],PS3,Action,Activision,Radical Entertainment,NA,8.1,NA,NA,1.24,0.65,NA,0.41,0.18,6/9/2009,
108,286,/games/boxart/full_3265725AmericaFrontccc.png,Bayonetta,PS3,Action,Sega,PlatinumGames,8.4,8.6,7.2,NA,1.21,0.44,0.21,0.4,0.16,1/5/2010,
109,296,/games/boxart/9109344ccc.jpg,Metal Gear Solid: Portable Ops,PSP,Action,Konami,Kojima Productions,NA,8.7,NA,NA,1.19,0.38,0.38,0.35,0.09,12/5/2006,
110,298,/games/boxart/full_spider-man-the-movie_327AmericaFront.jpg,Spider-Man: The Movie,GC,Action,Activision,Treyarch,NA,7.6,NA,NA,1.19,0.86,0.01,0.27,0.04,4/15/2002,
111,300,/games/boxart/full_lego-star-wars-iii-the-clone-wars_140AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,PS3,Action,LucasArts,Traveller's Tales,NA,8,NA,NA,1.18,0.52,NA,0.47,0.19,3/22/2011,
112,302,/games/boxart/full_red-dead-redemption-undead-nightmare_38AmericaFront.jpg,Red Dead Redemption: Undead Nightmare,PS3,Action,Rockstar Games,Rockstar San Diego,NA,10,NA,NA,1.18,0.47,0.06,0.45,0.19,11/23/2010,
113,303,/games/boxart/1902388ccc.jpg,Mission: Impossible,N64,Action,Ocean,Infogrames,NA,6.6,NA,NA,1.17,0.74,0.02,0.38,0.03,7/18/1998,
114,304,/games/boxart/full_7798502AmericaFrontccc.png,Sunset Overdrive,XOne,Action,Microsoft Studios,Insomniac Games,NA,8,NA,NA,1.16,0.64,0,0.42,0.1,10/28/2014,1/6/2018
115,305,/games/boxart/full_244890AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,XB,Action,Eidos Interactive,Traveller's Tales,NA,8,NA,NA,1.16,0.83,NA,0.28,0.05,4/5/2005,
116,313,/games/boxart/full_lego-star-wars-iii-the-clone-wars_987AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,Traveller's Tales,NA,6.7,NA,NA,1.14,0.61,NA,0.44,0.09,3/27/2011,
117,314,/games/boxart/858617ccc.jpg,Action Bass,PS,Action,Take-Two Interactive,Unknown,NA,5.1,NA,NA,1.14,0.64,NA,0.43,0.07,7/14/2000,
118,318,/games/boxart/8334980ccc.jpg,The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,"Hypnos Entertainment, Inc.",NA,8.8,NA,NA,1.14,0.71,NA,0.38,0.05,11/5/2003,
119,319,/games/boxart/full_8705226AmericaFrontccc.jpg,LEGO Star Wars: The Video Game,GBA,Action,Eidos Interactive,Amaze Entertainment,NA,7.4,NA,NA,1.14,0.82,NA,0.3,0.02,3/29/2005,
120,321,/games/boxart/full_5168012AmericaFrontccc.jpg,Spider-Man 2,XB,Action,Activision,Treyarch,NA,7.7,NA,NA,1.12,0.82,NA,0.26,0.04,6/28/2004,
121,324,/games/boxart/full_castlevania-lords-of-shadow_1AmericaFront.jpg,Castlevania: Lords of Shadow,PS3,Action,Konami,Mercury Steam,NA,8.1,NA,NA,1.11,0.5,0.1,0.37,0.15,10/5/2010,
122,325,/games/boxart/1609809ccc.gif,Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,Ubisoft Montreal,NA,9.4,NA,NA,1.11,0.68,NA,0.38,0.05,3/28/2005,
123,326,/games/boxart/full_red-dead-redemption-undead-nightmare_699AmericaFront.jpg,Red Dead Redemption: Undead Nightmare,X360,Action,Rockstar Games,Rockstar San Diego,NA,10,NA,NA,1.11,0.61,0.02,0.38,0.1,11/23/2010,
124,328,/games/boxart/full_lego-star-wars-iii-the-clone-wars_657AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,DS,Action,LucasArts,Traveller's Tales,NA,6.3,NA,NA,1.1,0.62,NA,0.38,0.1,3/22/2011,
125,330,/games/boxart/full_135821AmericaFrontccc.jpg,Toy Story 3: The Video Game,PS3,Action,Disney Interactive Studios,Avalanche Software,NA,7.5,NA,NA,1.09,0.51,NA,0.41,0.17,6/15/2010,
126,331,/games/boxart/1395823ccc.jpg,Bully: Scholarship Edition,X360,Action,Rockstar Games,Rockstar Vancouver/Mad Doc Software,NA,8.1,10,NA,1.09,0.53,0.03,0.42,0.11,3/5/2008,
127,332,/games/boxart/full_8476621AmericaFrontccc.jpg,Star Wars: The Force Unleashed,PSP,Action,LucasArts,Krome Studios,NA,7.1,NA,NA,1.09,0.43,NA,0.41,0.24,9/16/2008,
128,334,/games/boxart/full_dantes-inferno_129AmericaFront.jpg,Dante's Inferno,PS3,Action,Electronic Arts,Visceral Games,7.2,7.3,8.3,NA,1.08,0.64,0.04,0.28,0.12,2/9/2010,
129,337,/games/boxart/4632781ccc.jpg,Disney's Lilo & Stitch,GBA,Action,Disney Interactive Studios,Digital Eclipse,NA,8,NA,NA,1.08,0.77,NA,0.29,0.02,6/7/2002,
130,338,/games/boxart/full_9926100AmericaFrontccc.jpg,LEGO Star Wars II: The Original Trilogy,DS,Action,LucasArts,Amaze Entertainment,NA,4.9,NA,NA,1.07,0.96,NA,0.03,0.08,9/12/2006,
