,X,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
3371,46764,/games/boxart/full_1294257AmericaFrontccc.png,Harvest Moon 3D: A New Beginning,3DS,Simulation,Natsume,Marvelous,NA,8.2,NA,NA,0.95,0.41,0.31,0.18,0.06,11/6/2012,1/7/2018
3372,46765,/games/boxart/full_2857210AmericaFrontccc.jpg,Disney Magic Castle: My Happy Life,3DS,Simulation,Nintendo,High Horse Entertainment,NA,7.9,NA,NA,0.94,0.17,0.53,0.2,0.03,4/11/2014,1/7/2018
3373,46773,/games/boxart/full_5153610AmericaFrontccc.jpg,Endless Ocean: Blue World,Wii,Simulation,Nintendo,Arika,NA,7.6,NA,NA,0.87,0.46,0.12,0.22,0.06,2/22/2010,
3374,46776,/games/boxart/3982716ccc.jpg,Blazing Angels: Squadrons of WWII,Wii,Simulation,Ubisoft,Ubisoft Romania,NA,4.7,NA,NA,0.84,0.74,NA,0.04,0.06,3/20/2007,
3375,46783,/games/boxart/747317ccc.jpg,Star Wars Rogue Squadron III: Rebel Strike,GC,Simulation,LucasArts,Factor 5,NA,8.3,NA,NA,0.8,0.62,NA,0.16,0.02,10/15/2003,
3376,46784,/games/boxart/2058232ccc.jpg,The Sims 2: Pets,PSP,Simulation,Electronic Arts,Maxis,NA,5.8,NA,NA,0.8,0.19,NA,0.39,0.22,12/14/2006,
3377,46791,/games/boxart/full_the-sims-3_831AmericaFront.jpg,The Sims 3,3DS,Simulation,Electronic Arts,The Sims Studio,NA,5.6,NA,NA,0.77,0.3,0.03,0.38,0.07,3/27/2011,
3378,46794,/games/boxart/8706500ccc.jpg,Zone of the Enders,PS2,Simulation,Konami,Konami Computer Entertainment Japan,NA,7.5,NA,NA,0.75,0.3,0.13,0.24,0.08,3/26/2001,
3379,46803,/games/boxart/full_the-sims-medieval_788PALFront.jpg,The Sims: Medieval,PC,Simulation,Electronic Arts,The Sims Studio,NA,7.2,NA,NA,0.7,0.29,NA,0.32,0.09,3/22/2011,
3380,46806,/games/boxart/full_5001498AmericaFrontccc.jpg,IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games,Gaijin Entertainment,NA,8,NA,NA,0.69,0.34,NA,0.25,0.1,9/8/2009,
3381,46809,/games/boxart/full_the-sims-3_1AmericaFront.jpg,The Sims 3,DS,Simulation,Electronic Arts,The Sims Studio,NA,7.5,NA,NA,0.67,0.38,NA,0.23,0.06,10/26/2010,
3382,46810,/games/boxart/9280038ccc.jpg,Blazing Angels: Squadrons of WWII,PS3,Simulation,Ubisoft,Ubisoft Romania,NA,6.8,NA,NA,0.67,0.35,NA,0.22,0.1,12/12/2006,
3383,46812,/games/boxart/full_7861631AmericaFrontccc.jpg,The Sims: Bustin' Out,GC,Simulation,Electronic Arts,Maxis,NA,7.9,NA,NA,0.66,0.43,NA,0.2,0.03,12/15/2003,
3384,46815,/games/boxart/full_the-sims-3-generations_762AmericaFront.jpg,The Sims 3: Generations,PC,Simulation,Electronic Arts,The Sims Studio,NA,6.5,NA,NA,0.63,0.4,NA,0.23,NA,5/31/2011,
3385,46816,/games/boxart/full_6858882AmericaFrontccc.jpg,Dogz,GBA,Simulation,Ubisoft,MTO,NA,4.1,NA,NA,0.63,0.45,NA,0.17,0.01,11/17/2005,
3386,46827,/games/boxart/full_938813AmericaFrontccc.jpg,Harvest Moon: Friends of Mineral Town,GBA,Simulation,Natsume,TOSE Software,NA,7.6,NA,NA,0.59,0.34,0.11,0.13,0.01,11/17/2003,
3387,46834,/games/boxart/full_2207606AmericaFrontccc.jpg,Disney Magic World 2,3DS,Simulation,Nintendo,High Horse Entertainment,NA,7.5,NA,NA,0.58,0.07,0.23,0.25,0.02,10/14/2016,1/8/2018
3388,46836,/games/boxart/full_harvest-moon-the-tale-of-two-towns_448AmericaFront.jpg,Harvest Moon: The Tale of Two Towns,DS,Simulation,Natsume,Marvelous Interactive,NA,6.3,NA,NA,0.57,0.27,0.22,0.06,0.03,9/20/2011,
3389,46837,/games/boxart/full_7930619AmericaFrontccc.jpg,Harvest Moon: Sunshine Islands,DS,Simulation,Natsume,Marvelous Interactive,NA,9,NA,NA,0.57,0.35,0.17,0.03,0.03,11/10/2009,
3390,46838,/games/boxart/full_3006771AmericaFrontccc.jpg,The Sims 3: World Adventures,PC,Simulation,Electronic Arts,EA Redwood Shores,NA,8.2,NA,NA,0.57,0.02,NA,0.18,0.37,11/16/2009,
3391,46847,/games/boxart/full_6738026AmericaFrontccc.jpg,Petz Catz Clan,DS,Simulation,Ubisoft,Ubisoft,NA,5,NA,NA,0.55,0.47,NA,0.03,0.04,11/18/2008,
3392,46848,/games/boxart/1755344ccc.jpg,Viva Pinata: Pocket Paradise,DS,Simulation,THQ,Rare Ltd.,NA,8.1,NA,NA,0.55,0.26,NA,0.23,0.06,9/8/2008,
3393,46851,/games/boxart/full_the-sims-3-pets_389AmericaFront.jpg,The Sims 3: Pets,PC,Simulation,Electronic Arts,The Sims Studio,NA,7.5,NA,NA,0.54,0.54,NA,0,NA,10/18/2011,
3394,46852,/games/boxart/full_918860AmericaFrontccc.jpg,Seaman,DC,Simulation,Sega,VIVARIUM Inc.,NA,8.1,NA,NA,0.52,NA,0.52,NA,NA,8/9/2000,
3395,46861,/games/boxart/full_4968069AmericaFrontccc.jpg,Hometown Story,3DS,Simulation,Natsume,Toy Box,NA,5.5,NA,NA,0.5,0.29,0.04,0.13,0.04,10/22/2013,1/14/2018
3396,46863,/games/boxart/full_4729560AmericaFrontccc.jpg,Story of Seasons: Trio of Towns,3DS,Simulation,Marvelous Interactive,Marvelous Entertainment,NA,7.9,NA,NA,0.49,0.19,0.22,0.06,0.03,2/28/2017,5/29/2018
3397,46864,/games/boxart/full_babysitting-mama_4AmericaFront.jpg,Babysitting Mama,Wii,Simulation,Majesco,Cooking Mama Limited,NA,3.8,NA,NA,0.49,0.33,NA,0.12,0.04,11/16/2010,
3398,46872,/games/boxart/full_6801752AmericaFrontccc.jpg,Harvest Moon 64,N64,Simulation,Natsume,Toy Box Studios,NA,7.8,NA,NA,0.48,0.25,0.11,0.06,0.06,11/30/1999,
3399,46879,/games/boxart/full_2278274AmericaFrontccc.jpg,Viva Pinata: Trouble in Paradise,X360,Simulation,Microsoft Game Studios,Rare Ltd.,NA,8.5,NA,NA,0.47,0.16,0.01,0.25,0.05,9/2/2008,
