"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"4",6,"/games/boxart/full_6510540AmericaFrontccc.jpg","Grand Theft Auto V","PS3","Action","Rockstar Games","Rockstar North",9.4,20.32,6.37,0.99,9.85,3.12,"9/17/2013"
"6",8,"/games/boxart/full_5563178AmericaFrontccc.jpg","Grand Theft Auto V","PS4","Action","Rockstar Games","Rockstar North",9.7,19.39,6.06,0.6,9.71,3.02,"11/18/2014"
"9",11,"/games/boxart/827563ccc.jpg","Grand Theft Auto: Vice City","PS2","Action","Rockstar Games","Rockstar North",9.6,16.15,8.41,0.47,5.49,1.78,"10/28/2002"
"11",13,"/games/boxart/3570928ccc.jpg","Grand Theft Auto III","PS2","Action","Rockstar Games","DMA Design",9.5,13.1,6.99,0.3,4.51,1.3,"10/23/2001"
"13",15,"/games/boxart/full_1182151AmericaFrontccc.jpg","Grand Theft Auto IV","X360","Action","Rockstar Games","Rockstar North",10,11.09,6.8,0.14,3.11,1.04,"4/29/2008"
"15",17,"/games/boxart/full_1729769AmericaFrontccc.jpg","Grand Theft Auto IV","PS3","Action","Rockstar Games","Rockstar North",10,10.57,4.79,0.44,3.73,1.62,"4/29/2008"
"19",21,"/games/boxart/full_8047513AmericaFrontccc.jpg","Grand Theft Auto V","XOne","Action","Rockstar Games","Rockstar North",9,8.72,4.7,0.01,3.25,0.76,"11/18/2014"
"20",22,"/games/boxart/1340019ccc.jpg","Grand Theft Auto: Liberty City Stories","PSP","Action","Rockstar Games","Rockstar Leeds",8.8,7.72,2.9,0.24,2.83,1.74,"10/25/2005"
"24",26,"/games/boxart/full_2350454AmericaFrontccc.jpg","Uncharted 2: Among Thieves","PS3","Action","Sony Computer Entertainment","Naughty Dog",9.5,6.74,3.28,0.21,2.22,1.02,"10/13/2009"
"25",27,"/games/boxart/full_7375558AmericaFrontccc.jpg","Red Dead Redemption","PS3","Action","Rockstar Games","Rockstar San Diego",9.5,6.57,2.82,0.17,2.58,1,"10/11/2011"
"26",28,"/games/boxart/full_2634795AmericaFrontccc.jpg","Red Dead Redemption","X360","Action","Rockstar Games","Rockstar San Diego",9.5,6.5,3.77,0.09,2.03,0.6,"5/18/2010"
"27",29,"/games/boxart/7411582ccc.jpg","Driver","PS","Action","GT Interactive","Reflections Interactive",8.5,6.27,3.11,0.02,2.8,0.33,"6/30/1999"
"28",30,"/games/boxart/7540650ccc.jpg","Metal Gear Solid 2: Sons of Liberty","PS2","Action","Konami","Konami Computer Entertainment Japan",9.5,6.05,2.45,0.87,2.01,0.72,"11/12/2001"
"30",32,"/games/boxart/full_9894043AmericaFrontccc.jpg","Metal Gear Solid 4: Guns of the Patriots","PS3","Action","Konami","Kojima Productions",9.3,6,2.63,0.83,1.72,0.81,"6/12/2008"
"33",35,"/games/boxart/full_5252150AmericaFrontccc.jpg","Assassin's Creed II","PS3","Action","Ubisoft","Ubisoft Montreal",9,5.57,2.54,0.21,1.95,0.86,"11/17/2009"
"34",36,"/games/boxart/full_7562642AmericaFrontccc.jpg","Assassin's Creed","X360","Action","Ubisoft","Ubisoft Montreal",8.2,5.55,3.28,0.07,1.64,0.56,"11/13/2007"
"35",37,"/games/boxart/full_batman-arkham-city_591AmericaFront.jpg","Batman: Arkham City","PS3","Action","Warner Bros. Interactive","Rocksteady Studios",9.6,5.54,2.72,0.11,1.89,0.82,"10/18/2011"
"37",39,"/games/boxart/full_8353337AmericaFrontccc.jpg","Assassin's Creed II","X360","Action","Ubisoft","Ubisoft Montreal",9.1,5.3,3.14,0.08,1.55,0.52,"11/17/2009"
"38",40,"/games/boxart/full_989928AmericaFrontccc.jpg","Resident Evil 5","PS3","Action","Capcom","Capcom",8.6,5.1,1.96,1.08,1.42,0.64,"3/13/2009"
"39",41,"/games/boxart/full_1162504AmericaFrontccc.jpg","Grand Theft Auto: Vice City Stories","PSP","Action","Rockstar Games","Rockstar Leeds",8.4,5.08,1.7,0.16,2.03,1.19,"10/31/2006"
"40",42,"/games/boxart/full_7863698AmericaFrontccc.jpg","Uncharted: Drake's Fortune","PS3","Action","Sony Computer Entertainment","Naughty Dog",8.7,4.97,2.32,0.12,1.73,0.8,"11/16/2007"
"42",44,"/games/boxart/full_2363378AmericaFrontccc.jpg","Assassin's Creed","PS3","Action","Ubisoft","Ubisoft Montreal",8.2,4.83,1.91,0.09,2.01,0.82,"11/13/2007"
"44",46,"/games/boxart/full_batman-arkham-city_302AmericaFront.jpg","Batman: Arkham City","X360","Action","Warner Bros. Interactive","Rocksteady Studios",9.5,4.75,2.99,0.04,1.28,0.44,"10/18/2011"
"45",47,"/games/boxart/full_6536899AmericaFrontccc.jpg","Driver 2","PS","Action","Atari","Reflections Interactive",7,4.73,2.36,0.02,2.1,0.25,"11/13/2000"
"46",48,"/games/boxart/8307809ccc.jpg","The Lord of the Rings: The Two Towers","PS2","Action","Electronic Arts","Stormfront Studios",8.3,4.67,1.94,0.08,1.95,0.7,"10/21/2002"
"47",49,"/games/boxart/8585565ccc.jpg","Tomb Raider","PS","Action","Eidos Interactive","Core Design Ltd.",8.9,4.63,2.29,0.13,1.97,0.24,"11/14/1996"
"50",52,"/games/boxart/full_9484527AmericaFrontccc.jpg","Spider-Man: The Movie","PS2","Action","Activision","Treyarch",8.2,4.48,2.71,0.03,1.51,0.23,"4/15/2002"
"52",54,"/games/boxart/full_8831048AmericaFrontccc.jpg","Batman: Arkham Asylum","PS3","Action","Eidos Interactive","Rocksteady Studios",9,4.28,2.26,0.07,1.33,0.63,"8/25/2009"
"54",56,"/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg","Assassin's Creed: Revelations","PS3","Action","Ubisoft","Ubisoft Montreal",8.8,4.23,1.41,0.1,2.03,0.69,"11/15/2011"
"55",57,"/games/boxart/full_2666802AmericaFrontccc.jpg","Metal Gear Solid 3: Snake Eater","PS2","Action","Konami","KCEJ / Kojima Productions",9,4.23,1.46,0.83,0,1.93,"11/17/2004"
"56",58,"/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg","Assassin's Creed: Revelations","X360","Action","Ubisoft","Ubisoft Montreal",7.9,4.22,2.28,0.04,1.47,0.44,"11/15/2011"
"61",63,"/games/boxart/full_2497280AmericaFrontccc.jpg","Batman: Arkham Knight","PS4","Action","Warner Bros. Interactive","Rocksteady Studios",8.1,4.11,1.65,0.11,1.68,0.66,"6/23/2015"
"66",68,"/games/boxart/full_2414906AmericaFrontccc.jpg","Far Cry 5","PS4","Action","Ubisoft","Ubisoft",7.9,3.95,1.44,0.15,1.73,0.62,"3/27/2018"
"68",70,"/games/boxart/full_3182726AmericaFrontccc.jpg","Harry Potter and the Sorcerer's Stone","PS","Action","Electronic Arts","Argonaut Games",8,3.73,1.37,0.14,2,0.22,"11/15/2001"
"70",72,"/games/boxart/full_7518379AmericaFrontccc.jpg","Assassin's Creed Syndicate","PS4","Action","Ubisoft","Ubisoft Quebec",8.6,3.6,0.9,0.08,2.06,0.55,"10/23/2015"
"72",74,"/games/boxart/full_1027141AmericaFrontccc.jpg","Grand Theft Auto: Liberty City Stories","PS2","Action","Rockstar Games","Rockstar Leeds",8.3,3.54,1.56,0.07,1.4,0.5,"6/6/2006"
"73",75,"/games/boxart/9254920ccc.jpg","The Getaway","PS2","Action","Sony Computer Entertainment","Team Soho",7.7,3.54,1.23,0.05,1.77,0.49,"1/19/2003"
"74",76,"/games/boxart/full_1668550AmericaFrontccc.jpg","Batman: Arkham Asylum","X360","Action","Eidos Interactive","Rocksteady Studios",9.1,3.54,2.24,0.02,0.95,0.33,"8/25/2009"
"75",77,"/games/boxart/full_assassins-creed-brotherhood_1AmericaFront.jpg","Assassin's Creed: Brotherhood","X360","Action","Ubisoft","Ubisoft Montreal",9.1,3.53,2.87,0.03,0.39,0.25,"11/16/2010"
"76",78,"/games/boxart/full_6469736AmericaFrontccc.jpg","LEGO Star Wars: The Video Game","PS2","Action","Eidos Interactive","Traveller's Tales",7.9,3.53,1.98,0.01,1.14,0.41,"4/2/2005"
"77",79,"/games/boxart/full_2466064AmericaFrontccc.jpg","Resident Evil 5","X360","Action","Capcom","Capcom",8.6,3.53,2.13,0.12,0.93,0.34,"3/13/2009"
"83",85,"/games/boxart/4171363ccc.jpg","Spider-Man 2","PS2","Action","Activision","Treyarch",7.9,3.41,1.75,0.02,1.2,0.43,"6/28/2004"
"87",89,"/games/boxart/3546885ccc.jpg","The Lord of the Rings: The Return of the King","PS2","Action","Electronic Arts","Hypnos Entertainment, Inc.",8.4,3.28,1.5,0.05,1.28,0.46,"11/5/2003"
"95",97,"/games/boxart/full_2141889AmericaFrontccc.jpg","Saints Row 2","X360","Action","THQ","Volition Inc.",7.9,3.07,1.98,0.02,0.79,0.28,"10/14/2008"
"101",103,"/games/boxart/full_assassins-creed-brotherhood_2AmericaFront.jpg","Assassin's Creed: Brotherhood","PS3","Action","Ubisoft","Ubisoft Montreal",9.1,2.85,1.87,0.11,0.57,0.3,"11/16/2010"
"105",107,"/games/boxart/full_saints-row-the-third_291AmericaFront.jpg","Saints Row: The Third","X360","Action","THQ","Volition Inc.",8.3,2.77,1.26,0.07,1.14,0.3,"11/15/2011"
"109",111,"/games/boxart/full_4362003AmericaFrontccc.jpg","LEGO Star Wars II: The Original Trilogy","PS2","Action","LucasArts","Traveller's Tales",8.4,2.69,1.85,0.01,0.64,0.19,"9/12/2006"
"117",119,"/games/boxart/full_7814840AmericaFrontccc.jpg","Tomb Raider (2013)","PS3","Action","Square Enix","Crystal Dynamics",8.9,2.51,0.6,0.08,1.45,0.38,"3/5/2013"
"119",121,"/games/boxart/full_saints-row-the-third_775AmericaFront.jpg","Saints Row: The Third","PS3","Action","THQ","Volition Inc.",8.3,2.48,0.86,0.18,1.06,0.37,"11/15/2011"
"128",130,"/games/boxart/2974497ccc.jpg","The Incredibles","PS2","Action","THQ","Heavy Iron Studios",5.9,2.37,0.96,0.04,1.08,0.3,"10/31/2004"
"132",134,"/games/boxart/6725603ccc.jpg","Grand Theft Auto","PS","Action","Take-Two Interactive","DMA Design",6,2.32,0.79,0.04,1.35,0.14,"6/30/1998"
"136",138,"/games/boxart/full_dead-island_140AmericaFront.jpg","Dead Island","PS3","Action","Deep Silver","Techland",6.7,2.29,1.08,0.15,0.74,0.32,"9/6/2011"
"145",147,"/games/boxart/full_9978864AmericaFrontccc.jpg","Metal Gear Solid: Peace Walker","PSP","Action","Konami","Kojima Productions",8.6,2.08,0.46,0.96,0.42,0.25,"6/8/2010"
"146",148,"/games/boxart/8299340ccc.jpg","The Incredibles","GBA","Action","THQ","Helixe",5.4,2.06,1.15,0.04,0.77,0.1,"10/31/2004"
"149",151,"/games/boxart/full_7305262AmericaFrontccc.jpg","Tom Clancy's Splinter Cell: Conviction","X360","Action","Ubisoft","Ubisoft Montreal",8.6,2.06,1.2,0.04,0.62,0.19,"4/13/2010"
"157",159,"/games/boxart/full_9753159AmericaFrontccc.jpg","Tenchu: Stealth Assassins","PS","Action","Activision","Acquire",8.8,1.99,0.95,0.27,0.64,0.13,"8/31/1998"
"165",167,"/games/boxart/full_6890376AmericaFrontccc.jpg","Tomb Raider (2013)","X360","Action","Square Enix","Crystal Dynamics",8.5,1.9,0.86,0.01,0.87,0.16,"3/5/2013"
"166",168,"/games/boxart/full_infamous-2_615AmericaFront.jpg","inFAMOUS 2","PS3","Action","Sony Computer Entertainment","Sucker Punch Productions",8.1,1.87,1.05,0.08,0.48,0.26,"6/7/2011"
"167",169,"/games/boxart/full_7230441AmericaFrontccc.jpg","Star Wars: The Force Unleashed","Wii","Action","LucasArts","Krome Studios",6.8,1.86,1.11,0,0.56,0.19,"9/16/2008"
"169",171,"/games/boxart/full_308626AmericaFrontccc.jpg","The Evil Within","PS4","Action","Bethesda Softworks","Tango Gameworks",7.7,1.86,0.56,0.11,0.9,0.28,"10/14/2014"
"186",188,"/games/boxart/full_664593AmericaFrontccc.jpg","Just Cause 2","PS3","Action","Square Enix","Avalanche Studios",8.3,1.75,0.45,0.06,0.92,0.32,"3/23/2010"
"199",201,"/games/boxart/1789636ccc.jpg","Harry Potter and the Sorcerer's Stone","GBA","Action","Electronic Arts","Griptonite Games",6.6,1.69,0.87,0.08,0.66,0.08,"11/15/2001"
"200",202,"/games/boxart/full_5633056AmericaFrontccc.jpg","Saints Row 2","PS3","Action","THQ","Volition Inc.",7.9,1.68,0.88,0.02,0.54,0.24,"10/14/2008"
"202",207,"/games/boxart/full_uncharted-golden-abyss_991AmericaFront.jpg","Uncharted: Golden Abyss","PSV","Action","Sony Computer Entertainment","SCEA Bend Studio / Naughty Dog",7.9,1.62,0.53,0.13,0.71,0.25,"2/15/2012"
"204",209,"/games/boxart/full_2327598AmericaFrontccc.jpg","Just Cause 2","X360","Action","Square Enix","Avalanche Studios",8,1.6,0.59,0.02,0.83,0.17,"3/23/2010"
"205",210,"/games/boxart/full_1783749AmericaFrontccc.jpg","Devil May Cry 4","PS3","Action","Capcom","Capcom",8.2,1.58,0.58,0.34,0.45,0.2,"2/5/2008"
"219",224,"/games/boxart/full_6977688AmericaFrontccc.jpg","Metal Gear Rising: Revengeance","PS3","Action","Konami Digital Entertainment","PlatinumGames",9,1.5,0.47,0.44,0.41,0.18,"2/19/2013"
"222",227,"/games/boxart/full_mafia-ii_4AmericaFront.jpg","Mafia II","PS3","Action","2K Games","Illusion Softworks",7,1.49,0.5,0.04,0.7,0.25,"8/24/2010"
"223",228,"/games/boxart/full_dead-rising-2_9AmericaFront.jpg","Dead Rising 2","X360","Action","Capcom","Blue Castle Games",8.2,1.49,0.75,0.09,0.53,0.13,"9/28/2010"
"249",254,"/games/boxart/full_dead-rising-2_5AmericaFront.jpg","Dead Rising 2","PS3","Action","Capcom","Blue Castle Games",8.1,1.37,0.43,0.15,0.57,0.22,"9/28/2010"
"250",255,"/games/boxart/full_metroid-other-m_7AmericaFront.jpg","Metroid: Other M","Wii","Action","Nintendo","Nintendo SPD Production Group 1/Team Ninja",7.7,1.36,0.85,0.13,0.28,0.1,"8/31/2010"
"253",258,"/games/boxart/full_7623118AmericaFrontccc.jpg","Devil May Cry 4","X360","Action","Capcom","Capcom",8.5,1.34,0.79,0.08,0.34,0.13,"2/5/2008"
"256",261,"/games/boxart/full_1170189AmericaFrontccc.jpg","Alan Wake","X360","Action","Microsoft Game Studios","Remedy Entertainment",8.3,1.33,0.66,0.05,0.5,0.12,"5/18/2010"
"271",276,"/games/boxart/full_2923134AmericaFrontccc.jpg","Assassin's Creed: Bloodlines","PSP","Action","Ubisoft","Griptonite Studio",6.3,1.26,0.43,0.05,0.5,0.28,"11/17/2009"
"281",286,"/games/boxart/full_3265725AmericaFrontccc.png","Bayonetta","PS3","Action","Sega","PlatinumGames",8.6,1.21,0.44,0.21,0.4,0.16,"1/5/2010"
"291",296,"/games/boxart/9109344ccc.jpg","Metal Gear Solid: Portable Ops","PSP","Action","Konami","Kojima Productions",8.7,1.19,0.38,0.38,0.35,0.09,"12/5/2006"
"293",298,"/games/boxart/full_spider-man-the-movie_327AmericaFront.jpg","Spider-Man: The Movie","GC","Action","Activision","Treyarch",7.6,1.19,0.86,0.01,0.27,0.04,"4/15/2002"
"297",302,"/games/boxart/full_red-dead-redemption-undead-nightmare_38AmericaFront.jpg","Red Dead Redemption: Undead Nightmare","PS3","Action","Rockstar Games","Rockstar San Diego",10,1.18,0.47,0.06,0.45,0.19,"11/23/2010"
"298",303,"/games/boxart/1902388ccc.jpg","Mission: Impossible","N64","Action","Ocean","Infogrames",6.6,1.17,0.74,0.02,0.38,0.03,"7/18/1998"
"299",304,"/games/boxart/full_7798502AmericaFrontccc.png","Sunset Overdrive","XOne","Action","Microsoft Studios","Insomniac Games",8,1.16,0.64,0,0.42,0.1,"10/28/2014"
"319",324,"/games/boxart/full_castlevania-lords-of-shadow_1AmericaFront.jpg","Castlevania: Lords of Shadow","PS3","Action","Konami","Mercury Steam",8.1,1.11,0.5,0.1,0.37,0.15,"10/5/2010"
"321",326,"/games/boxart/full_red-dead-redemption-undead-nightmare_699AmericaFront.jpg","Red Dead Redemption: Undead Nightmare","X360","Action","Rockstar Games","Rockstar San Diego",10,1.11,0.61,0.02,0.38,0.1,"11/23/2010"
"326",331,"/games/boxart/1395823ccc.jpg","Bully: Scholarship Edition","X360","Action","Rockstar Games","Rockstar Vancouver/Mad Doc Software",8.1,1.09,0.53,0.03,0.42,0.11,"3/5/2008"
"329",334,"/games/boxart/full_dantes-inferno_129AmericaFront.jpg","Dante's Inferno","PS3","Action","Electronic Arts","Visceral Games",7.3,1.08,0.64,0.04,0.28,0.12,"2/9/2010"
"336",341,"/games/boxart/full_6559707AmericaFrontccc.jpg","Darksiders","X360","Action","THQ","Vigil Games",7.8,1.06,0.67,0.01,0.28,0.1,"1/5/2010"
"386",391,"/games/boxart/full_1963214AmericaFrontccc.jpg","Bayonetta","X360","Action","Sega","PlatinumGames",8.9,0.93,0.51,0.09,0.25,0.08,"1/5/2010"
"390",395,"/games/boxart/full_5523061AmericaFrontccc.jpg","Dante's Inferno","X360","Action","Electronic Arts","Visceral Games",7,0.92,0.63,0.02,0.2,0.08,"2/9/2010"
"392",397,"/games/boxart/full_dynasty-warriors-7_151AmericaFront.jpg","Dynasty Warriors 7","PS3","Action","Tecmo Koei","Omega Force",5.8,0.91,0.25,0.46,0.14,0.06,"3/29/2011"
"399",404,"/games/boxart/full_resident-evil-revelations_61AmericaFront.jpg","Resident Evil: Revelations","3DS","Action","Capcom","Capcom",7.8,0.89,0.3,0.3,0.23,0.05,"2/7/2012"
"412",420,"/games/boxart/full_4201763AmericaFrontccc.png","Bayonetta 2","WiiU","Action","Nintendo","PlatinumGames",9.3,0.86,0.37,0.1,0.32,0.06,"10/24/2014"
"417",425,"/games/boxart/full_4189490AmericaFrontccc.jpg","Ninja Gaiden Sigma 2","PS3","Action","Tecmo Koei","Team Ninja",8.5,0.85,0.52,0.08,0.16,0.1,"9/29/2009"
"425",433,"/games/boxart/full_5099160AmericaFrontccc.jpg","ZombiU","WiiU","Action","Ubisoft","Ubisoft Montpellier",6.9,0.84,0.35,0.05,0.37,0.07,"11/18/2012"
"445",453,"/games/boxart/full_4296430AmericaFrontccc.jpg","MadWorld","Wii","Action","Sega","PlatinumGames",8.1,0.78,0.45,0.02,0.24,0.07,"3/10/2009"
"448",456,"/games/boxart/9620325ccc.jpg","Tom Clancy's Splinter Cell: Double Agent","X360","Action","Ubisoft","Ubisoft Shanghai",8.5,0.78,0.67,0.01,0.04,0.06,"10/17/2006"
"459",467,"/games/boxart/full_8695378AmericaFrontccc.jpg","Resident Evil: Revelations","PS3","Action","Capcom","Capcom",7.6,0.76,0.14,0.22,0.32,0.09,"5/21/2013"
"466",474,"/games/boxart/5510094ccc.jpg","Genji: Days of the Blade","PS3","Action","Sony Computer Entertainment","Game Republic",5,0.75,0.18,0.06,0.38,0.14,"11/14/2006"
"470",478,"/games/boxart/full_ace-combat-assault-horizon_504AmericaFront.jpg","Ace Combat: Assault Horizon","PS3","Action","Namco Bandai","Project ACES",7.5,0.74,0.3,0.22,0.16,0.07,"10/11/2011"
"480",488,"/games/boxart/full_5131597AmericaFrontccc.png","Monster Hunter Generations Ultimate","NS","Action","Capcom","Capcom",7.7,0.72,0.27,0.27,0.14,0.04,"8/28/2018"
"491",499,"/games/boxart/2740085ccc.jpg","Blast Corps","N64","Action","Nintendo","Rare Ltd.",9.1,0.71,0.39,0.17,0.09,0.06,"2/28/1997"
"498",506,"/games/boxart/full_james-bond-007-blood-stone_3AmericaFront.jpg","James Bond 007: Blood Stone","PS3","Action","Activision","Bizarre Creations",6.2,0.7,0.18,0.02,0.37,0.12,"11/2/2010"
"503",511,"/games/boxart/full_5494675AmericaFrontccc.jpg","Metal Gear Solid: Portable Ops Plus","PSP","Action","Konami","Kojima Productions",6.9,0.69,0.26,0.26,0.01,0.17,"11/13/2007"
"517",525,"/games/boxart/full_3447163AmericaFrontccc.jpg","Diablo III: Eternal Collection","NS","Action","Blizzard Entertainment","Blizzard Entertainment",9,0.67,0.38,0.01,0.22,0.06,"11/2/2018"
"523",531,"/games/boxart/full_castlevania-lords-of-shadow_5AmericaFront.jpg","Castlevania: Lords of Shadow","X360","Action","Konami","Mercury Steam",7.9,0.66,0.42,0.01,0.17,0.05,"10/5/2010"
"528",536,"/games/boxart/full_fist-of-the-north-star-kens-rage_1AmericaFront.jpg","Fist of the North Star: Ken's Rage","PS3","Action","Tecmo Koei","Tecmo Koei Games",4.8,0.66,0.06,0.55,0.03,0.01,"11/2/2010"
"531",539,"/games/boxart/full_gods-eater-burst_569AmericaFront.jpg","Gods Eater Burst","PSP","Action","D3 Publisher","Shift",7.1,0.66,0.03,0.62,0,0,"3/15/2011"
"537",545,"/games/boxart/full_sengoku-basara-samurai-heroes_9AmericaFront.jpg","Sengoku Basara: Samurai Heroes","PS3","Action","Capcom","Capcom",6.1,0.64,0.17,0.4,0.04,0.02,"10/12/2010"
"540",548,"/games/boxart/full_6247970AmericaFrontccc.jpg","Dead Island: Riptide","PS3","Action","Deep Silver","Techland",6.6,0.64,0.26,0.07,0.21,0.1,"4/23/2013"
"547",555,"/games/boxart/full_7778097AmericaFrontccc.jpg","LEGO The Incredibles","NS","Action","Warner Bros. Interactive Entertainment","Traveller's Tales",6.5,0.63,0.35,0.01,0.21,0.06,"6/15/2018"
"557",565,"/games/boxart/1830828ccc.jpg","Viewtiful Joe","GC","Action","Capcom","Clover Studio",9.4,0.62,0.38,0.12,0.1,0.02,"10/7/2003"
"559",567,"/games/boxart/full_6700322AmericaFrontccc.jpg","Prince of Persia: The Forgotten Sands","X360","Action","Ubisoft","Ubisoft Montreal",7.5,0.62,0.3,0,0.26,0.06,"5/18/2010"
"561",569,"/games/boxart/3854966ccc.jpg","Samurai Warriors 2","PS2","Action","KOEI","Omega Force",5.6,0.61,0.02,0.57,0.02,0.01,"9/19/2006"
"586",594,"/games/boxart/full_8511610AmericaFrontccc.jpg","Tom Clancy's HAWX","X360","Action","Ubisoft","Ubisoft Romania",6.9,0.58,0.31,0.02,0.19,0.06,"3/3/2009"
"595",603,"/games/boxart/full_5304839AmericaFrontccc.jpg","Bayonetta 2","NS","Action","Nintendo","PlatinumGames",9.5,0.57,0.26,0.07,0.2,0.04,"2/16/2018"
"605",616,"/games/boxart/full_3952478AmericaFrontccc.gif","Resident Evil Outbreak File #2","PS2","Action","Capcom","Capcom Production Studio 1",5.8,0.57,0.19,0.17,0.15,0.05,"4/26/2005"
"611",622,"/games/boxart/full_8600640AmericaFrontccc.jpg","Tom Clancy's HAWX","PS3","Action","Ubisoft","Ubisoft Romania",7.5,0.56,0.21,0.05,0.22,0.09,"3/3/2009"
"612",623,"/games/boxart/7896120ccc.jpg","Resident Evil 2","N64","Action","Capcom","Angel Studios",9,0.56,0.39,0.07,0.09,0.01,"10/31/1999"
"616",627,"/games/boxart/full_enslaved-odyssey-to-the-west_6AmericaFront.jpg","Enslaved: Odyssey to the West","PS3","Action","Namco Bandai","Ninja Theory",7.9,0.56,0.24,0.01,0.23,0.08,"10/5/2010"
"617",628,"/games/boxart/full_316783AmericaFrontccc.jpg","No More Heroes","Wii","Action","Ubisoft","Grasshopper Manufacture",8.2,0.56,0.29,0.04,0.17,0.05,"1/22/2008"
"618",629,"/games/boxart/full_4869495AmericaFrontccc.jpg","Metal Gear Solid 3: Subsistence","PS2","Action","Konami","Kojima Productions",9.4,0.55,0.34,0.15,0.01,0.06,"3/14/2006"
"623",634,"/games/boxart/full_3896928AmericaFrontccc.jpg","Dragon Ball: Xenoverse 2","NS","Action","Namco Bandai Games","Dimps Corporation",8,0.55,0.17,0.19,0.16,0.03,"9/22/2017"
"629",640,"/games/boxart/full_dynasty-warriors-gundam-3_312AmericaFront.jpg","Dynasty Warriors: Gundam 3","PS3","Action","Tecmo Koei","Omega Force",6.5,0.54,0.11,0.36,0.05,0.02,"6/28/2011"
"631",642,"/games/boxart/full_enslaved-odyssey-to-the-west_5AmericaFront.jpg","Enslaved: Odyssey to the West","X360","Action","Namco Bandai","Ninja Theory",8,0.54,0.3,0,0.19,0.05,"10/5/2010"
"654",665,"/games/boxart/9841540ccc.jpg","Silent Hill: Origins","PSP","Action","Konami","Climax Group",7.8,0.52,0.22,0.04,0.16,0.1,"11/6/2007"
"655",666,"/games/boxart/full_5732484AmericaFrontccc.jpg","Metal Gear Solid 2: Substance","PS2","Action","Konami","Konami Computer Entertainment Japan",8.5,0.52,0.18,0.16,0.14,0.05,"3/3/2003"
"659",670,"/games/boxart/full_8996425AmericaFrontccc.jpg","Way of the Samurai 3","PS3","Action","Agetec","Acquire",6.5,0.52,0.18,0.22,0.08,0.04,"10/13/2009"
"664",675,"/games/boxart/full_9360209AmericaFrontccc.jpg","Lair","PS3","Action","Sony Computer Entertainment","Factor 5",5.5,0.51,0.36,0.08,0.04,0.04,"8/30/2007"
"669",680,"/games/boxart/full_6689168AmericaFrontccc.jpg","Dynasty Warriors","PSP","Action","Tecmo Koei","Omega Force",6.6,0.51,0.18,0.3,0,0.02,"3/17/2005"
"671",682,"/games/boxart/full_8428240AmericaFrontccc.jpg","Fire Emblem Warriors","NS","Action","Nintendo","Omega Force",7.3,0.51,0.22,0.1,0.14,0.04,"10/20/2017"
"687",698,"/games/boxart/full_super-monkey-ball-3d_839AmericaFront.jpg","Super Monkey Ball 3D","3DS","Action","Sega","Sega",5.7,0.5,0.26,0.05,0.15,0.04,"3/27/2011"
"688",699,"/games/boxart/7757085ccc.jpg","Spider-Man 2","DS","Action","Activision","Vicarious Visions",6.1,0.5,0.41,0.03,0.02,0.04,"11/16/2004"
"691",702,"/games/boxart/full_steel-diver_925AmericaFront.jpg","Steel Diver","3DS","Action","Nintendo","Nintendo EAD",5.6,0.5,0.31,0.05,0.1,0.04,"3/27/2011"
"694",705,"/games/boxart/full_8653055AmericaFrontccc.jpg","Dynasty Warriors: Gundam 2","PS3","Action","Namco Bandai","Omega Force",5.9,0.49,0.09,0.32,0.07,0.03,"4/21/2009"
"695",706,"/games/boxart/full_ace-combat-assault-horizon_251AmericaFront.jpg","Ace Combat: Assault Horizon","X360","Action","Namco Bandai","Project ACES",7,0.49,0.3,0.03,0.12,0.04,"10/11/2011"
"717",728,"/games/boxart/full_239052AmericaFrontccc.jpg","Dynasty Warriors Gundam","PS3","Action","Namco Bandai","Omega Force",6.4,0.47,0.14,0.31,0.01,0.02,"8/28/2007"
"719",730,"/games/boxart/full_james-bond-007-blood-stone_5AmericaFront.jpg","James Bond 007: Blood Stone","X360","Action","Activision","Bizarre Creations",6.2,0.47,0.2,0,0.23,0.05,"11/2/2010"
"722",733,"/games/boxart/full_flingsmash_3AmericaFront.jpg","FlingSmash","Wii","Action","Nintendo","Artoon",3.8,0.47,0.37,0.07,0.01,0.02,"11/7/2010"
"729",740,"/games/boxart/9882908ccc.jpg","Metal Gear Solid: The Twin Snakes","GC","Action","Konami","Silicon Knights",8.1,0.47,0.3,0.07,0.08,0.01,"3/9/2004"
"740",751,"/games/boxart/full_8069084AmericaFrontccc.jpg","Hyrule Warriors: Definitive Edition","NS","Action","Nintendo","Omega Force",8,0.46,0.21,0.07,0.15,0.03,"5/18/2018"
"742",753,"/games/boxart/8784711ccc.jpg","Enter the Matrix","GC","Action","Atari","Shiny Entertainment",6.5,0.45,0.34,0.02,0.09,0.01,"5/14/2003"
"747",758,"/games/boxart/full_2887847AmericaFrontccc.jpg","Dynasty Warriors: Strikeforce","PSP","Action","Tecmo Koei","Omega Force",6.4,0.45,0.03,0.38,0.02,0.02,"4/28/2009"
