"","X","img","title","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"41141",41785,"/games/boxart/full_4873252AmericaFrontccc.jpg","Star Wars Battlefront (2015)","PS4","Shooter","Electronic Arts","EA DICE",7.1,8.03,3.31,0.23,3.19,1.3,"11/17/2015"
"41144",41788,"/games/boxart/full_514368AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","PS4","Shooter","Activision","Sledgehammer Games",8.5,7.53,2.84,0.14,3.34,1.22,"11/4/2014"
"41148",41792,"/games/boxart/full_battlefield-3_439AmericaFront.jpg","Battlefield 3","X360","Shooter","Electronic Arts","Dice",8.5,7.35,4.47,0.06,2.12,0.69,"10/25/2011"
"41149",41793,"/games/boxart/full_9032449AmericaFrontccc.png","Battlefield 1","PS4","Shooter","Electronic Arts","EA DICE",9.1,7.26,2.2,0.29,3.65,1.12,"10/21/2016"
"41150",41794,"/games/boxart/full_battlefield-3_278AmericaFront.jpg","Battlefield 3","PS3","Shooter","Electronic Arts","Dice",8.5,7.21,2.86,0.35,2.94,1.07,"10/25/2011"
"41151",41795,"/games/boxart/7583871ccc.jpg","Medal of Honor: Frontline","PS2","Shooter","Electronic Arts","EA Los Angeles",9,6.83,2.93,0.17,2.75,0.99,"5/28/2002"
"41152",41796,"/games/boxart/full_75346AmericaFrontccc.jpg","Call of Duty 4: Modern Warfare","PS3","Shooter","Activision","Infinity Ward",9.5,6.72,3.13,0.28,2.27,1.04,"11/5/2007"
"41153",41797,"/games/boxart/full_8199541AmericaFrontccc.jpg","Halo 3: ODST","X360","Shooter","Microsoft Game Studios","Bungie",8.7,6.35,4.34,0.06,1.34,0.61,"9/22/2009"
"41160",41804,"/games/boxart/full_6401955AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","XOne","Shooter","Activision","Sledgehammer Games",8.3,5.22,3.25,0.01,1.49,0.48,"11/4/2014"
"41161",41805,"/games/boxart/255122ccc.jpg","Medal of Honor: Rising Sun","PS2","Shooter","Electronic Arts","EA Los Angeles",5.9,5.13,1.98,0.13,2.23,0.8,"11/11/2003"
"41162",41806,"/games/boxart/full_601699AmericaFrontccc.png","Battlefield 1","XOne","Shooter","Electronic Arts","EA DICE",9.3,5.13,3.37,0.02,1.26,0.48,"10/21/2016"
"41172",41816,"/games/boxart/full_8847041AmericaFrontccc.jpg","Overwatch","PS4","Shooter","Blizzard Entertainment","Blizzard Entertainment",8.8,4.54,1.84,0.17,1.8,0.73,"5/24/2016"
"41176",41820,"/games/boxart/full_7463593AmericaFrontccc.jpg","Resistance: Fall of Man","PS3","Shooter","Sony Computer Entertainment","Insomniac Games",8.5,4.37,1.74,0.14,1.72,0.76,"11/14/2006"
"41178",41822,"/games/boxart/full_4034633AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","X360","Shooter","Activision","High Moon Studios",9.1,4.34,2.81,0,1.13,0.41,"11/4/2014"
"41180",41824,"/games/boxart/full_4650769AmericaFrontccc.jpg","Call of Duty: Advanced Warfare","PS3","Shooter","Activision","High Moon Studios",9.1,4.27,1.59,0.2,1.81,0.67,"11/4/2014"
"41181",41825,"/games/boxart/full_9732403AmericaFrontccc.jpg","Call of Duty: Ghosts","PS4","Shooter","Activision","Infinity Ward",7.5,4.17,1.79,0.05,1.64,0.69,"11/15/2013"
