"","X","img","title","console","genre","publisher","developer","critic_score","user_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date"
"41226",41870,"/games/boxart/full_9365862AmericaFrontccc.jpg","BioShock","X360","Shooter","2K Games","2K Australia / 2K Boston",9.6,9.5,2.83,1.65,0.05,0.85,0.28,"8/21/2007"
"41233",41877,"/games/boxart/full_5803786AmericaFrontccc.jpg","Call of Duty 3","X360","Shooter","Activision","Treyarch",8,8.4,2.7,1.49,0.02,0.92,0.27,"11/7/2006"
"41243",41887,"/games/boxart/full_6559401AmericaFrontccc.jpg","Resistance 2","PS3","Shooter","Sony Computer Entertainment","Insomniac Games",8.5,8.7,2.47,1.15,0.1,0.84,0.38,"11/4/2008"
"41265",41909,"/games/boxart/full_5196183AmericaFrontccc.jpg","Call of Duty 2","X360","Shooter","Activision","Infinity Ward",8.8,9.1,2.06,1.84,0.01,0.04,0.16,"11/17/2005"
"41287",41931,"/games/boxart/full_3092238AmericaFrontccc.jpg","Crackdown","X360","Shooter","Microsoft Game Studios","Realtime Worlds",8.4,7,1.75,1,0.03,0.53,0.18,"2/20/2007"
"41341",41988,"/games/boxart/5990330ccc.jpg","The House of the Dead 2 & 3 Return","Wii","Shooter","Sega","Sega",6.5,7,1.45,0.77,0.03,0.5,0.15,"3/11/2008"
"41342",41989,"/games/boxart/8018037ccc.jpg","BioShock","PS3","Shooter","2K Games","2K Boston / 2K Australia / 2K Marin",9.3,9.6,1.44,0.75,0.01,0.48,0.21,"10/21/2008"
"41369",42016,"/games/boxart/full_8702440AmericaFrontccc.jpg","MAG: Massive Action Game","PS3","Shooter","Sony Computer Entertainment","Zipper Interactive",7.4,9.5,1.32,0.77,0.09,0.3,0.16,"1/26/2010"
"41396",42043,"/games/boxart/8108434ccc.jpg","Army of Two","PS3","Shooter","Electronic Arts","EA Montreal",7.4,6.9,1.17,0.74,0.02,0.26,0.15,"3/7/2008"
"41425",42072,"/games/boxart/8045970ccc.jpg","Star Fox: Assault","GC","Shooter","Nintendo","Namco",6.6,8.5,1.08,0.68,0.19,0.18,0.03,"2/14/2005"
"41479",42126,"/games/boxart/full_8237638AmericaFrontccc.jpg","Resistance: Retribution","PSP","Shooter","Sony Computer Entertainment","SCEA Bend Studio",8,7.6,0.9,0.27,0.05,0.36,0.22,"3/17/2009"
"41522",42172,"/games/boxart/full_4143611AmericaFrontccc.png","Perfect Dark Zero","X360","Shooter","Microsoft Game Studios","Rare Ltd.",8.1,8.9,0.77,0.66,0.03,0.02,0.06,"11/17/2005"
"41588",42238,"/games/boxart/full_red-steel-2_6AmericaFront.jpg","Red Steel 2","Wii","Shooter","Ubisoft","Ubisoft Paris",7.8,8.5,0.62,0.35,0.01,0.21,0.06,"3/23/2010"
"41726",42379,"/games/boxart/full_9745171AmericaFrontccc.jpg","Doom (2016)","NS","Shooter","Bethesda Softworks","id Software",8.2,9.1,0.43,0.24,0.01,0.15,0.04,"11/10/2017"
"49088",49855,"/games/boxart/full_3285439AmericaFrontccc.jpg","FIFA 18","NS","Sports","EA Sports","EA Vancouver",5.8,9.1,1.1,0.35,0.13,0.55,0.07,"9/29/2017"
"54146",54991,"/games/boxart/full_6035674AmericaFrontccc.jpg","Halo Wars","X360","Strategy","Microsoft Game Studios","Ensemble Studios",8.1,8.5,2.67,1.58,0.04,0.8,0.25,"3/3/2009"
"54230",55075,"/games/boxart/full_9965240AmericaFrontccc.jpg","New Play Control! Pikmin","Wii","Strategy","Nintendo","Nintendo EAD",7.7,9.3,0.64,0.28,0.19,0.13,0.04,"3/9/2009"
"54269",55114,"/games/boxart/full_5841817AmericaFrontccc.jpg","Fire Emblem: Radiant Dawn","Wii","Strategy","Nintendo","Intelligent Systems",7.7,8.5,0.49,0.27,0.17,0.03,0.03,"11/5/2007"
"54278",55123,"/games/boxart/4341658ccc.jpg","Sid Meier's Civilization Revolution","DS","Strategy","2K Games","Firaxis",8.2,7.6,0.45,0.37,0.02,0.03,0.03,"7/8/2008"
"54355",55203,"/games/boxart/full_7144287AmericaFrontccc.png","Little King's Story","Wii","Strategy","Xseed Games","Cing Inc. / Town Factory",8.5,9,0.29,0.14,0.02,0.11,0.02,"7/21/2009"
