,Name,Platform,Max_Players,Genre,Publisher,Review_Score,Used_Price,Age_Rating,Length_Average,Length_Leisure,Length_Median,Length_Polled,Length_Rushed,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Sequel,Online,Licensed,Handheld,Multiplatform,Third_Person
649,Syphon Filter: Dark Mirror,PSP,1,Shooter,Sony Computer Entertainment,87,12.95,M,8.466666667,11.43333333,7.283333333,8,6.683333333,2006,0.26,0.01,0,0.03,0.29,9,118,1,1,0,1,1,1
650,Syphon Filter: Logan's Shadow,PSP,1,Shooter,Sony Computer Entertainment,85,16.95,T,10.63333333,11.15,10,7,9.65,2007,0.25,0.12,0,0.09,0.46,8.8,47,1,1,0,1,0,1
651,Tales of Symphonia: Dawn of the New World,Wii,4,Role-Playing,Namco Bandai Games,68,24.95,T,41,79.43333333,36.76666667,74,29.13333333,2008,0.21,0.04,0.24,0.02,0.52,7.1,93,1,0,0,0,0,1
652,Tales of Vesperia,X360,1,Role-Playing,Atari,79,27.95,T,71.78333333,177.15,56.86666667,218,44.65,2008,0.32,0.17,0.19,0.05,0.74,8.2,264,1,0,0,0,0,1
653,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,1,Action,Konami Digital Entertainment,58,17.95,E,4.5,4.5,4.5,1,4.5,2005,0.05,0,0,0,0.06,7,5,1,0,1,1,1,0
654,Tenchu Z,X360,1,Action,Microsoft Game Studios,56,14.95,M,34.03333333,48.81666667,21.25,8,19.81666667,2006,0.27,0.02,0.02,0.03,0.34,7.3,58,1,1,0,0,0,1
655,Tenchu: Dark Secret,DS,1,Action,From Software,37,14.95,T,7.1,7.8,7.1,2,6.4,2006,0.03,0,0.01,0,0.05,5.1,7,1,0,0,1,0,1
656,Test Drive Unlimited,PSP,1,Racing,Atari,80,17.95,E10+,53.4,101.9666667,38.5,22,32.96666667,2007,0.08,0.27,0,0.15,0.5,7.3,29,1,0,1,1,1,1
657,Test Drive Unlimited,X360,1,Racing,Atari,82,17.95,E10+,53.4,101.9666667,38.5,22,32.96666667,2006,0.23,0.04,0.02,0.02,0.32,8,86,1,1,1,0,1,1
658,Tetris DS,DS,1,Puzzle,Nintendo,84,17.95,E,27.4,33.71666667,27.5,8,21.85,2006,0.63,0.05,1.35,0.08,2.1,8.7,44,1,1,0,1,0,1
659,The Ant Bully,Wii,1,Platform,Midway Games,45,16.95,E10+,3.566666667,3.566666667,3.566666667,1,3.566666667,2006,0.08,0,0,0.01,0.09,1.4,5,0,0,1,0,1,1
660,The BIGS,PS3,4,Sports,Take-Two Interactive,80,22.95,E,16.81666667,30.06666667,10.13333333,4,6.916666667,2007,0.15,0,0,0.01,0.16,7.2,12,0,1,1,0,0,1
662,The BIGS,Wii,4,Sports,Take-Two Interactive,66,17.95,E,16.81666667,30.06666667,10.13333333,4,6.916666667,2007,0.34,0,0,0.03,0.37,7.1,14,0,0,1,0,1,1
