,Name,Platform,Max_Players,Genre,Publisher,Review_Score,Used_Price,Age_Rating,Length_Average,Length_Leisure,Length_Median,Length_Polled,Length_Rushed,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Score,User_Count,Sequel,Online,Licensed,Handheld,Multiplatform,Third_Person
743,Tony Hawk's Project 8,PSP,2,Sports,Activision,68,17.95,T,17.16666667,19.53333333,17,11,15.33333333,2006,0.41,0.07,0,0.07,0.56,7.6,14,1,1,1,1,1,1
744,Tony Hawk's Project 8,X360,2,Sports,Activision,81,16.95,T,17.16666667,19.53333333,17,11,15.33333333,2006,0.44,0.02,0,0.04,0.49,7.6,38,1,1,1,0,1,1
745,Tony Hawk's Proving Ground,DS,1,Sports,Activision,39,13.95,E10+,8.133333333,8.133333333,8.133333333,1,8.133333333,2007,0.2,0.01,0,0.02,0.23,6.7,6,1,0,1,1,0,1
746,Tony Hawk's Proving Ground,PS3,2,Sports,Activision,73,12.95,T,8.133333333,8.133333333,8.133333333,1,8.133333333,2007,0.36,0.04,0,0.04,0.44,6.6,17,1,1,1,0,1,1
747,Tony Hawk's Proving Ground,Wii,2,Sports,Activision,57,16.95,T,8.133333333,8.133333333,8.133333333,1,8.133333333,2007,0.22,0.01,0,0.02,0.25,6.2,19,1,0,1,0,1,1
748,Tony Hawk's Proving Ground,X360,2,Sports,Activision,72,16.95,T,8.133333333,8.133333333,8.133333333,1,8.133333333,2007,0.49,0.02,0,0.04,0.56,5.4,44,1,1,1,0,1,1
749,Too Human,X360,1,Role-Playing,Microsoft Game Studios,65,14.95,T,20.51666667,68.36666667,15,37,12.86666667,2008,0.38,0.29,0.03,0.08,0.78,7,458,0,1,0,0,0,1
750,Top Spin 2,X360,4,Sports,Take-Two Interactive,75,12.95,E,10,10,10,1,10,2006,0.15,0,0,0.01,0.17,6.8,25,1,1,1,0,0,1
752,Touch Detective,DS,1,Adventure,505 Games,60,14.95,E10+,6.9,8.75,6.133333333,11,5.583333333,2006,0.06,0.02,0,0.01,0.09,6.8,6,0,0,0,1,0,1
753,Touch the Dead,DS,1,Shooter,Eidos Interactive,56,16.95,M,4.65,4.65,4.65,1,4.65,2007,0.2,0,0,0.02,0.22,5.6,5,1,0,0,1,0,0
754,Trauma Center: New Blood,Wii,2,Simulation,Nintendo,77,17.95,T,11.73333333,16.06666667,12.56666667,16,8.483333333,2007,0.22,0.04,0.01,0.02,0.29,8,20,0,0,0,0,0,0
755,Trauma Center: Second Opinion,Wii,1,Simulation,Nintendo,80,17.95,T,9.216666667,12.55,9,19,6.7,2006,0.28,0.01,0.03,0.03,0.34,8,47,1,0,0,0,0,0
756,Trauma Center: Under the Knife,DS,1,Simulation,Nintendo,81,15.95,T,8.75,11.75,8.266666667,32,6.75,2005,0.3,0.01,0.02,0.03,0.35,8.7,45,0,0,0,1,0,0
757,Turn It Around,DS,1,Action,505 Games,39,9.95,E,1,1,1,1,1,2007,0.03,0,0,0,0.03,4.5,4,0,0,0,1,0,1
758,Turning Point: Fall of Liberty,PS3,1,Shooter,Codemasters,42,7.95,T,5.116666667,6.1,5,14,4.133333333,2008,0.21,0.01,0,0.02,0.24,5.5,33,0,1,0,0,1,0
759,Turning Point: Fall of Liberty,X360,1,Shooter,Codemasters,43,7.95,T,5.116666667,6.1,5,14,4.133333333,2008,0.23,0.04,0,0.02,0.29,6.8,87,0,1,0,0,1,0
760,Turok,PS3,1,Action,Touchstone,67,16.95,M,9.716666667,24.36666667,7.75,32,6.566666667,2008,0.35,0.21,0.01,0.1,0.67,6,39,1,1,1,0,1,0
761,Turok,X360,1,Action,Touchstone,69,14.95,M,9.716666667,24.36666667,7.75,32,6.566666667,2008,0.46,0.2,0.01,0.07,0.75,7.1,120,1,1,1,0,1,0
762,Two Worlds,X360,1,Role-Playing,SouthPeak Games,50,14.95,M,32.7,62.56666667,27.58333333,31,20.06666667,2007,0.41,0.22,0,0.07,0.7,5.5,182,0,1,0,0,0,1
763,Uncharted: Drake's Fortune,PS3,1,Action,Sony Computer Entertainment,88,24.95,T,9.5,32.11666667,9,1400,6.5,2007,2.31,1.72,0.12,0.77,4.92,8.1,2306,0,0,0,0,0,1
764,Universe at War: Earth Assault,X360,1,Action,Sega,66,14.95,T,16,17,16,4,15,2008,0.09,0.01,0,0.01,0.1,8.3,57,0,1,0,0,0,1
765,Unreal Tournament III,PS3,1,Shooter,Midway Games,86,16.95,M,14.06666667,24.13333333,12.51666667,35,8.883333333,2007,0.33,0.23,0,0.1,0.67,7.7,127,1,1,0,0,1,0
766,Unreal Tournament III,X360,2,Shooter,Midway Games,82,14.95,M,14.06666667,24.13333333,12.51666667,35,8.883333333,2008,0.25,0.17,0.01,0.05,0.47,7.6,95,1,1,0,0,1,0
767,Untold Legends: Brotherhood of the Blade,PSP,1,Role-Playing,Activision,68,12.95,T,21,21.5,21,2,20.5,2005,0.54,0.33,0.01,0.22,1.09,7.6,58,0,1,0,1,0,1
768,Untold Legends: Dark Kingdom,PS3,2,Role-Playing,Electronic Arts,58,16.95,T,24.75,26.43333333,25,4,22.93333333,2006,0.14,0.02,0.02,0.02,0.2,7.2,36,1,1,0,0,0,1
769,Valhalla Knights,PSP,1,Role-Playing,Rising Star Games,53,16.95,E10+,100,100,100,1,100,2006,0.15,0,0.07,0.01,0.24,6.3,15,0,0,0,1,0,1
770,Valkyria Chronicles,PS3,1,Role-Playing,Sega,86,24.95,T,37.08333333,61.53333333,35.08333333,296,25.03333333,2008,0.71,0.19,0.24,0.13,1.27,8.6,433,0,0,0,0,0,1
771,Valkyrie Profile: Covenant of the Plume,DS,1,Role-Playing,Square Enix,74,24.95,T,26.45,50.25,18.75,20,16.8,2008,0.22,0.02,0.16,0.02,0.42,6.8,12,1,0,0,1,0,0
772,Valkyrie Profile: Lenneth,PSP,1,Role-Playing,Square Enix,80,22.95,T,37.5,67.96666667,34.38333333,31,28.98333333,2006,0.17,0.01,0.16,0.02,0.36,8.4,57,1,0,0,1,0,1
773,Vampire Rain,X360,1,Action,Microsoft Game Studios,38,11.95,M,10.88333333,11.66666667,10.5,3,10.08333333,2007,0.18,0,0.01,0.01,0.21,2.9,44,0,1,0,0,0,1
775,Viewtiful Joe: Red Hot Rumble,PSP,1,Action,Capcom,63,14.95,T,10.56666667,13.61666667,9.9,3,7.516666667,2006,0.08,0,0,0.01,0.09,6.3,6,1,0,0,1,1,1
776,Viking: Battle for Asgard,PS3,1,Action,Sega,65,16.95,M,17.5,24.36666667,16,52,12.1,2008,0.14,0.17,0,0.07,0.38,7.4,32,0,0,0,0,0,1
777,Viking: Battle for Asgard,X360,1,Action,Sega,68,14.95,M,17.5,24.36666667,16,52,12.1,2008,0.16,0.23,0,0.05,0.44,8,88,0,0,0,0,0,1
778,Virtua Fighter 5,PS3,2,Fighting,Sega,85,14.95,T,3.333333333,5.7,1.5,10,1.366666667,2007,0.29,0.51,0.08,0.2,1.08,7.4,67,1,0,0,0,1,1
779,Virtua Tennis 3,PS3,4,Sports,Sega,80,19.95,E,18.16666667,26.53333333,15.5,6,14.5,2007,0.23,0.58,0.03,0.21,1.05,7.9,32,1,0,1,0,1,1
780,Virtua Tennis 3,PSP,1,Sports,Sega,79,16.95,E,18.16666667,26.53333333,15.5,6,14.5,2007,0.02,0.02,0,0.01,0.05,7.7,13,1,0,1,1,1,1
781,Virtua Tennis 3,X360,4,Sports,Sega,80,14.95,E,18.16666667,26.53333333,15.5,6,14.5,2007,0.03,0.01,0,0,0.04,6.8,26,1,1,1,0,1,1
782,Wall-E,PS3,4,Platform,THQ,51,17.95,E,7.35,10.51666667,6.716666667,7,5.266666667,2008,0.12,0.21,0,0.08,0.4,5,7,0,0,1,0,0,1
783,Wall-E,Wii,4,Platform,THQ,51,17.95,E,7.35,10.51666667,6.716666667,7,5.266666667,2008,0.51,0.4,0,0.11,1.01,3.6,8,0,0,1,0,1,1
784,Wall-E,X360,4,Platform,THQ,50,14.95,E,7.35,10.51666667,6.716666667,7,5.266666667,2008,0.29,0.26,0,0.07,0.62,6.3,6,0,0,1,0,1,1
786,Wario: Master of Disguise,DS,1,Platform,Nintendo,60,14.95,E10+,10.28333333,12.43333333,9.5,4,8.533333333,2007,0.28,0.02,0.33,0.03,0.65,7.4,19,1,0,0,1,0,1
788,WarioWare: Smooth Moves,Wii,6,Puzzle,Nintendo,83,39.95,E10+,4.466666667,8.35,3,34,2.333333333,2006,0.86,1.04,0.73,0.26,2.89,7.4,179,1,0,0,0,0,0
789,Warriors Orochi,X360,2,Action,Tecmo Koei,53,19.95,T,16.25,28.8,15,5,9.7,2007,0.17,0.01,0,0.02,0.2,7.4,13,0,0,0,0,1,1
790,WarTech: Senko no Ronde,X360,2,Fighting,Ubisoft,60,12.95,T,25.88333333,57.25,1.166666667,4,6.883333333,2006,0.04,0,0,0,0.04,6.1,7,0,1,0,0,0,1
791,Wii Fit,Wii,1,Sports,Nintendo,80,24.95,E,6.066666667,10.01666667,4,11,4.016666667,2007,8.92,8.03,3.6,2.15,22.7,7.7,146,0,0,0,0,0,1
792,Wii Play,Wii,2,Misc,Nintendo,58,14.95,E,5.816666667,8.45,4,11,3.316666667,2006,13.96,9.18,2.93,2.84,28.92,6.6,129,0,0,0,0,0,1
793,Winning Eleven: Pro Evolution Soccer 2007,X360,6,Sports,Konami Digital Entertainment,80,11.95,E,37,50.5,37,2,23.5,2006,0.09,0,0,0.01,0.1,6.5,33,1,1,0,0,1,0
794,WipEout Pulse,PSP,1,Racing,Sony Computer Entertainment,82,16.95,E10+,8.666666667,9.916666667,9,9,7.283333333,2007,0.13,0.12,0,0.06,0.31,8.6,31,1,0,0,1,0,1
795,WipEout Pure,PSP,1,Racing,Sony Computer Entertainment,88,12.95,E,9.516666667,14.58333333,8.8,8,6.383333333,2005,0.47,0.34,0,0.23,1.03,7.9,102,1,1,0,1,0,1
796,Worms: A Space Oddity,Wii,4,Strategy,THQ,64,17.95,E10+,10,10,10,1,10,2008,0.06,0.02,0,0.01,0.08,4.3,13,1,0,0,0,0,0
797,Worms: Open Warfare 2,DS,1,Strategy,THQ,81,17.95,E10+,9.116666667,9.55,9.116666667,2,8.683333333,2007,0.07,0.24,0,0.04,0.35,9.1,22,1,1,0,1,1,0
798,Worms: Open Warfare 2,PSP,4,Strategy,THQ,80,17.95,E10+,9.116666667,9.55,9.116666667,2,8.683333333,2007,0.04,0.26,0,0.14,0.44,8.1,25,1,1,0,1,1,0
799,Worms: Open Warfare,DS,1,Strategy,THQ,64,17.95,E10+,9.116666667,9.55,9.116666667,2,8.683333333,2006,0.05,0.02,0,0.01,0.08,7,16,1,0,0,1,1,0
800,Worms: Open Warfare,PSP,1,Strategy,THQ,70,17.95,E10+,9.116666667,9.55,9.116666667,2,8.683333333,2006,0.11,0.43,0,0.23,0.77,6.6,18,0,1,0,1,1,0
801,X-Men: The Official Game,DS,1,Action,Activision,50,14.95,E10+,11.88333333,14.18333333,12.06666667,8,9.95,2006,0.1,0,0,0.01,0.1,7.8,6,0,0,1,1,1,1
802,X-Men: The Official Game,X360,1,Action,Activision,52,14.95,T,11.88333333,14.18333333,12.06666667,8,9.95,2006,0.16,0,0,0.01,0.17,6.1,20,0,0,1,0,1,1
804,Yoshi's Island DS,DS,1,Platform,Nintendo,81,27.95,E,9.633333333,18.1,9.583333333,23,7.066666667,2006,1.45,0.07,1.1,0.15,2.76,7.4,67,1,0,0,1,0,1
808,Zoids Assault,X360,1,Strategy,Takara Tomy,46,17.95,T,12.05,12.56666667,12.05,2,11.51666667,2007,0.08,0,0,0.01,0.09,7.3,7,0,0,1,0,0,0
809,Zoo Keeper,DS,1,Puzzle,Ignition Entertainment,74,14.95,E,7.15,8.9,5,5,5.033333333,2004,0.1,0.01,0.05,0.01,0.16,7.5,13,0,0,0,1,0,0
810,Zubo,DS,1,Misc,Electronic Arts,75,14.95,E10+,15,15,15,1,15,2008,0.08,0.02,0,0.01,0.11,7.6,75,0,0,0,1,0,1
